Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
HiPRO Protein Kwark Banaan 200 g,"€1,99",JA,12.4 g,4.0 g,0.4 g,295.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-banaan-200-g-578578ZK,2025-12-09 16:01:28
HiPRO Protein Kwark Banaan 6 x 200 g,"€11,94",JA,12.4 g,4.0 g,0.4 g,295.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-banaan-6-x-200-g-578578DSL,2025-12-09 16:01:30
HiPRO Protein Kwark Bosvruchten 6 x  200 g,"€11,94",JA,12.4 g,3.6 g,0.4 g,290.0 kJ,https://www.jumbo.com/producten/hipro-protein-kwark-bosvruchten-6-x-200-g-578690DSL,2025-12-09 16:01:33
Jumbo Milde Kwark Mager 500 g,"€1,49",JA,"9,0 g","4,8 g","0,5 g",kJ 268,https://www.jumbo.com/producten/jumbo-milde-kwark-mager-500-g-394229CUP,2025-12-09 16:01:36
Campina Magere Milde Kwark met 'n Vleugje Vanille 500 g,"€2,09",JA,9.0 g,7.3 g,0.1 g,294.0 kJ,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-vanille-500-g-168787CUP,2025-12-09 16:01:38
Campina Magere Milde Kwark Naturel 500 g,"€1,99",JA,10 g,"2,7 g","0,1 g",235 kJ / 55 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-naturel-500-g-168786CUP,2025-12-09 16:01:41
Campina Magere Milde Kwark met 'n Vleugje Aardbei 500 g,"€2,09",JA,"9,0 g","7,3 g","0,1 g",294 kJ / 69 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-aardbei-500-g-347423CUP,2025-12-09 16:01:43
Campina Magere Milde Kwark met 'n Vleugje Banaan 500 g,"€2,45",JA,"9,3 g","7,0 g","0,1 g",295 kJ / 69 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-banaan-500-g-499036CUP,2025-12-09 16:01:46
Campina Volle Milde Kwark Naturel 500 g,"€2,29",JA,"8,5 g","2,8 g","8,8 g",531 kJ / 127 kcal,https://www.jumbo.com/producten/campina-volle-milde-kwark-naturel-500-g-183639STK,2025-12-09 16:01:49
Campina Magere Milde Kwark met 'n Vleugje Mango 500 g,"€2,19",JA,"9,2 g","7,4 g","0,1 g",300 kJ / 71 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-mango-500-g-206342STK,2025-12-09 16:01:51
Campina Magere Milde Kwark Naturel Voordeelpak 1 kg,"€3,49",JA,10 g,"2,7 g","0,1 g",235 kJ / 55 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-naturel-voordeelpak-1-kg-194964BAK,2025-12-09 16:01:54
Optimel Magere Kwark met Magere Yoghurt Winter Orange 0% Vet Limited Edition 500 g,"€2,79",JA,6.8 g,3.7 g,- g,197 kJ / 46 kcal,https://www.jumbo.com/producten/optimel-magere-kwark-met-magere-yoghurt-winter-orange-0-vet-limited-edition-500-g-68927BAK,2025-12-09 16:01:57
Öing Magere Kwark 500 g,"€1,15",JA,"10,0 g","4,0 g","0,3 g",257 kJ/,https://www.jumbo.com/producten/oing-magere-kwark-500-g-226296CUP,2025-12-09 16:01:59
Alpro Plantaardige Variatie op Kwark Mango 400 g,"€2,89",JA,"5,2 g","8,4 g","3,0 g",354 kJ / 84 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-kwark-mango-400-g-563539CUP,2025-12-09 16:02:02
Jumbo High Protein Pudding Vanillesmaak 200 g,"€1,29",JA,"10,0 g","8,4 g","0,9 g",kJ 357 / kcal 84,https://www.jumbo.com/producten/jumbo-high-protein-pudding-vanillesmaak-200-g-635458CUP,2025-12-09 16:02:05
