Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Melkunie Milk Shake Aardbei Smaak 200 ml,"€1,39",JA,,,,,https://www.jumbo.com/producten/melkunie-milk-shake-aardbei-smaak-200-ml-576925BUS,2025-12-09 15:18:53
Melkunie Milk Shake Vanille Smaak 200 ml,"€1,39",JA,,,,,https://www.jumbo.com/producten/melkunie-milk-shake-vanille-smaak-200-ml-576927CUP,2025-12-09 15:18:55
Melkunie Protein Raspberry & Strawberry Flavoured Shake 225 ml,"€1,69",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-flavoured-shake-225-ml-192505PAK,2025-12-09 15:18:58
WeCare Flavour French Vanilla Meal Replacement Shake 436 g,"€16,49",JA,13 g,58 g,15 g,1814 kJ,https://www.jumbo.com/producten/wecare-flavour-french-vanilla-meal-replacement-shake-436-g-623487POT,2025-12-09 15:19:00
Jumbo High Protein Shake Vanille Smaak 310 ml,"€1,85",JA,"8,0 g","4,1 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-vanille-smaak-310-ml-522116FLS,2025-12-09 15:19:03
Melkunie Protein Raspberry & Strawberry Shake 8 x 225 ml,"€13,52",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-shake-8-x-225-ml-192505DSL,2025-12-09 15:19:06
NXT Level Vanilla Flavor Protein Shake 500 ml,"€2,99",JA,10.0 g,4.0 g,0.2 g,247.0 kJ,https://www.jumbo.com/producten/nxt-level-vanilla-flavor-protein-shake-500-ml-572979FLS,2025-12-09 15:19:08
NXT Level Banana Flavor Protein Shake 330 ml,"€2,33",JA,7.6 g,3.0 g,0.2 g,188.0 kJ,https://www.jumbo.com/producten/nxt-level-banana-flavor-protein-shake-330-ml-472614FLS,2025-12-09 15:19:11
NXT Level Strawberry Flavor Protein Shake 330 ml,"€2,35",JA,7.6 g,2.9 g,0.1 g,183.0 kJ,https://www.jumbo.com/producten/nxt-level-strawberry-flavor-protein-shake-330-ml-472615FLS,2025-12-09 15:19:13
NXT Level Ice Coffee Flavor Protein Shake 330 ml,"€2,27",JA,"7,5g","3,9g","0,1g",201kJ 48kcal,https://www.jumbo.com/producten/nxt-level-ice-coffee-flavor-protein-shake-330-ml-457928FLS,2025-12-09 15:19:16
NXT Level Protein Shake Vanilla Flavor 330 ml,"€2,27",JA,"7,6g","3,9g","0,1g",202kJ 48kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-vanilla-flavor-330-ml-458003FLS,2025-12-09 15:19:19
Melkunie Protein Chocolate Flavoured Shake 4x 250 ml,"€6,76",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-4x-250-ml-736563STK,2025-12-09 15:19:21
XXL Nutrition Shaker 800ml,"€4,99",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-shaker-800ml-586787BKR,2025-12-09 15:19:24
Jumbo High Protein Shake Chocolade Smaak 310 ml,"€1,85",JA,"8,0 g","4,0 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-chocolade-smaak-310-ml-522115FLS,2025-12-09 15:19:26
NXT Level Protein Shake Milky Chocolate Flavor 500 ml,"€3,19",JA,10.0 g,4.2 g,0.4 g,257.0 kJ,https://www.jumbo.com/producten/nxt-level-protein-shake-milky-chocolate-flavor-500-ml-457926FLS,2025-12-09 15:19:29
NXT Level Protein Shake Chocolate Flavor 330 ml,"€2,33",JA,"7,6g","4,1g","0,3g",212kJ 51kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-chocolate-flavor-330-ml-472613FLS,2025-12-09 15:19:32
Melkunie Protein Raspberry & Strawberry Flavoured Shake 3x 225 ml,"€5,07",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-flavoured-shake-3x-225-ml-736571STK,2025-12-09 15:19:34
Melkunie Protein Chocolate Flavoured Shake 4x 250 ml,"€0,00",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-4x-250-ml-736525STK,2025-12-09 15:19:37
Melkunie Protein Strawberry Vanilla Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-vanilla-yogurt-drink-330-ml-521731FLS,2025-12-09 15:19:39
HiPRO Protein Drink Framboos Aardbei 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-framboos-aardbei-300-ml-433886FLS,2025-12-09 15:19:42
HiPRO Protein Drink Perzik Passievrucht 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-perzik-passievrucht-300-ml-547423FLS,2025-12-09 15:19:45
HiPRO Protein Drink Mango 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-300-ml-494984FLS,2025-12-09 15:19:47
Melkunie Protein Blueberry Yogurt Drink 330 ml,"€1,99",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-blueberry-yogurt-drink-330-ml-521732FLS,2025-12-09 15:19:50
Jumbo's Creamy Berry Much Smoothie 250 ml,"€2,79",NEE,1.5 g,11.8 g,1.2 g,kJ 283 / kcal 67,https://www.jumbo.com/producten/jumbo-s-creamy-berry-much-smoothie-250-ml-720440FLS,2025-12-09 15:19:52
Jumbo's Creamy Passion Paradise Smoothie 250 ml,"€2,79",NEE,1.2 g,11.7 g,2.6 g,328.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-passion-paradise-smoothie-250-ml-729331FLS,2025-12-09 15:19:55
Jumbo's Creamy Cacao Berry Smoothie 250 ml,"€2,79",NEE,1.4 g,10.5 g,3.0 g,kJ 329 / kcal 79,https://www.jumbo.com/producten/jumbo-s-creamy-cacao-berry-smoothie-250-ml-720442FLS,2025-12-09 15:19:58
Jumbo's Creamy Cloudy Coffee Smoothie 250 ml,"€2,79",NEE,1.8 g,10.3 g,2.1 g,kJ 296 / kcal 71,https://www.jumbo.com/producten/jumbo-s-creamy-cloudy-coffee-smoothie-250-ml-720443FLS,2025-12-09 15:20:00
Jumbo's Creamy Coconut Citrus Crush Smoothie 250 ml,"€2,79",NEE,0.9 g,10.4 g,2.4 g,291.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-coconut-citrus-crush-smoothie-250-ml-729332FLS,2025-12-09 15:20:03
Jumbo's Fruity Sweet Potato Spiced Sap 250 ml,"€2,79",NEE,0.9 g,11.4 g,0.2 g,224.0 kJ,https://www.jumbo.com/producten/jumbo-s-fruity-sweet-potato-spiced-sap-250-ml-729330FLS,2025-12-09 15:20:05
Jumbo's Fruity Chai Noël 250ML,"€2,79",NEE,0.3 g,9.0 g,0.0 g,kJ 165 / kcal 39,https://www.jumbo.com/producten/jumbo-s-fruity-chai-noel-250ml-722456FLS,2025-12-09 15:20:08
Jumbo's Fruity Ruby Roots Royal Fruitsap 250 ml,"€2,79",NEE,0.5 g,9.0 g,0.1 g,kJ 167 / kcal 39,https://www.jumbo.com/producten/jumbo-s-fruity-ruby-roots-royal-fruitsap-250-ml-720434FLS,2025-12-09 15:20:10
Jumbo's Fruity Tropical Chili Twist Kokoswater Sap 250 ml,"€2,79",NEE,0.9 g,9.4 g,0.2 g,kJ 191 / kcal 45,https://www.jumbo.com/producten/jumbo-s-fruity-tropical-chili-twist-kokoswater-sap-250-ml-720435FLS,2025-12-09 15:20:13
Jumbo's Fruity Citrus Wave Sap 250 ml,"€2,79",NEE,0.7 g,9.3 g,0.1 g,kJ 179 / kcal 42,https://www.jumbo.com/producten/jumbo-s-fruity-citrus-wave-sap-250-ml-720436FLS,2025-12-09 15:20:15
"Jumbo Verse Smoothie Aardbei, Appel & Banaan 750ML","€3,29",JA,0.5 g,10.3 g,0.0 g,kJ 190 / kcal 45,https://www.jumbo.com/producten/jumbo-verse-smoothie-aardbei-appel-banaan-750ml-617391FLS,2025-12-09 15:20:18
Jumbo Verse Smoothie Mango & Passievrucht 750ML,"€3,99",JA,0.8 g,14.2 g,0.2 g,kJ 273 / kcal 64,https://www.jumbo.com/producten/jumbo-verse-smoothie-mango-passievrucht-750ml-617392FLS,2025-12-09 15:20:20
Jumbo Vers Geperste Smoothie Aardbei Appel & Banaan 500 ml,"€2,59",JA,"0,5 g","10,3 g","0,0 g",kJ 190 / kcal 45,https://www.jumbo.com/producten/jumbo-vers-geperste-smoothie-aardbei-appel-banaan-500-ml-531836FLS,2025-12-09 15:20:23
Jumbo's Creamy Berry Much Smoothie 250 ml,"€2,79",JA,1.5 g,11.8 g,1.2 g,kJ 283 / kcal 67,https://www.jumbo.com/producten/jumbo-s-creamy-berry-much-smoothie-250-ml-720440FLS,2025-12-09 15:20:26
"Jumbo Vers Geperste Smoothie Appel, Avocado, Kokos & Mango 500 ml","€2,59",JA,"0,8 g","10,9 g","3,1 g",kJ 321 / kcal 77,https://www.jumbo.com/producten/jumbo-vers-geperste-smoothie-appel-avocado-kokos-mango-500-ml-585791FLS,2025-12-09 15:20:28
Jumbo Vers Geperste Smoothie Mango & Passievrucht 500 ml,"€2,69",JA,"0,8 g","14,2 g","0,2 g",kJ 273 / kcal 64,https://www.jumbo.com/producten/jumbo-vers-geperste-smoothie-mango-passievrucht-500-ml-532129FLS,2025-12-09 15:20:31
Jumbo's Creamy Passion Paradise Smoothie 250 ml,"€2,79",JA,1.2 g,11.7 g,2.6 g,328.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-passion-paradise-smoothie-250-ml-729331FLS,2025-12-09 15:20:33
Jumbo's Creamy Cacao Berry Smoothie 250 ml,"€2,79",JA,1.4 g,10.5 g,3.0 g,kJ 329 / kcal 79,https://www.jumbo.com/producten/jumbo-s-creamy-cacao-berry-smoothie-250-ml-720442FLS,2025-12-09 15:20:36
Jumbo's Creamy Coconut Citrus Crush Smoothie 250 ml,"€2,79",JA,0.9 g,10.4 g,2.4 g,291.0 kJ,https://www.jumbo.com/producten/jumbo-s-creamy-coconut-citrus-crush-smoothie-250-ml-729332FLS,2025-12-09 15:20:38
Jumbo's Creamy Cloudy Coffee Smoothie 250 ml,"€2,79",JA,1.8 g,10.3 g,2.1 g,kJ 296 / kcal 71,https://www.jumbo.com/producten/jumbo-s-creamy-cloudy-coffee-smoothie-250-ml-720443FLS,2025-12-09 15:20:41
"Jumbo Verse Smoothie Chia, Appel & Mango 500ML","€2,59",JA,0.6 g,11.1 g,0.6 g,kJ 230 / kcal 54,https://www.jumbo.com/producten/jumbo-verse-smoothie-chia-appel-mango-500ml-685874FLS,2025-12-09 15:20:44
Jumbo's Fruity Chai Noël 250ML,"€2,79",JA,0.3 g,9.0 g,0.0 g,kJ 165 / kcal 39,https://www.jumbo.com/producten/jumbo-s-fruity-chai-noel-250ml-722456FLS,2025-12-09 15:20:46
"Jumbo Verse Smoothie Ananas, Kokos & Banaan 3 x 250ML","€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-verse-smoothie-ananas-kokos-banaan-3-x-250ml-603648STK,2025-12-09 15:20:49
"Jumbo Verse Smoothie Aardbei, Appel & Banaan 3 x 250ML","€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-verse-smoothie-aardbei-appel-banaan-3-x-250ml-603674STK,2025-12-09 15:20:51
"Jumbo Verse Smoothie Yoghurt, Bosvruchten, Banaan & Appel 3 x 250ML","€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-verse-smoothie-yoghurt-bosvruchten-banaan-appel-3-x-250ml-603917STK,2025-12-09 15:20:54
Jumbo Smoothie Mango Passievrucht 3 x 250ML,"€5,97",JA,,,,,https://www.jumbo.com/producten/jumbo-smoothie-mango-passievrucht-3-x-250ml-629348STK,2025-12-09 15:20:56
Jumbo Smoothie Aardbei Banaan met Appel 250ML,"€1,59",JA,0.2 g,12.4 g,0.1 g,225.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-aardbei-banaan-met-appel-250ml-641684FLS,2025-12-09 15:20:59
Jumbo Smoothie Mango Passievrucht met Appel 250ML,"€1,79",JA,"0,3 g","12,7 g","0,2 g",kJ 232 / kcal 55,https://www.jumbo.com/producten/jumbo-smoothie-mango-passievrucht-met-appel-250ml-641683FLS,2025-12-09 15:21:01
Jumbo Smoothie Ananas Kokos met Appel 250ML,"€1,59",JA,0.9 g,11.4 g,3.4 g,339.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-ananas-kokos-met-appel-250ml-641685FLS,2025-12-09 15:21:04
innocent super smoothie berry energise 750ml,"€3,99",JA,,,,,https://www.jumbo.com/producten/innocent-super-smoothie-berry-energise-750ml-523332FLS,2025-12-09 15:21:07
"Jumbo Smoothie Mix Proteïne Banaan, Mango, Drakenfruit & Erwteneiwit 250 g","€2,49",JA,4.0 g,14.9 g,0.7 g,361.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-banaan-mango-drakenfruit-erwteneiwit-250-g-698541STK,2025-12-09 15:21:09
"Jumbo Smoothie Mix Proteïne Mango, Banaan, Spinazie & Erwteneiwit 250 g","€2,49",JA,4.1 g,13.9 g,0.56 g,340.0 kJ,https://www.jumbo.com/producten/jumbo-smoothie-mix-proteine-mango-banaan-spinazie-erwteneiwit-250-g-698504STK,2025-12-09 15:21:12
Jumbo Smoothie Aardbei Banaan met Appel 750ML,"€2,99",JA,"0,2 g","12,4 g","0,1 g",kJ 221 / kcal 52,https://www.jumbo.com/producten/jumbo-smoothie-aardbei-banaan-met-appel-750ml-640826FLS,2025-12-09 15:21:14
innocent super smoothie berry energise 300ml,"€2,79",JA,,,,,https://www.jumbo.com/producten/innocent-super-smoothie-berry-energise-300ml-523330FLS,2025-12-09 15:21:17
DubbelDrank Mango & Passievrucht 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/dubbeldrank-mango-passievrucht-1-l-383965PAK,2025-12-09 15:21:20
Jumbo Duo Drank Peer Appel 1 L,"€1,69",JA,,,,,https://www.jumbo.com/producten/jumbo-duo-drank-peer-appel-1-l-135749PAK,2025-12-09 15:21:22
DubbelDrank Abrikoos & Sinaasappel 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/dubbeldrank-abrikoos-sinaasappel-1-l-166466PAK,2025-12-09 15:21:25
Jumbo 100% Puur Druivensap 1 L,"€1,99",JA,,,,,https://www.jumbo.com/producten/jumbo-100-puur-druivensap-1-l-135043PAK,2025-12-09 15:21:27
Jumbo Ananassap 1 L,"€2,69",JA,,,,,https://www.jumbo.com/producten/jumbo-ananassap-1-l-135039PAK,2025-12-09 15:21:30
Fruity Juice Rood Fruit 2 L,"€3,69",JA,0.1 g,9.8 g,0.1 g,178 kJ (42 kcal),https://www.jumbo.com/producten/fruity-juice-rood-fruit-2-l-687357CAN,2025-12-09 15:21:33
Maaza Mango Fruit Drink 1 L,"€2,19",JA,0.1 g,11.2 g,0 g,192 kJ / 46 kcal,https://www.jumbo.com/producten/maaza-mango-fruit-drink-1-l-62389PAK,2025-12-09 15:21:35
Jumbo Cranberry Drank 1 L,"€1,79",JA,"0,3 g","8,4 g",0 g,kJ 157 / kcal 37,https://www.jumbo.com/producten/jumbo-cranberry-drank-1-l-509694FLS,2025-12-09 15:21:38
Jumbo Boomgaard Perensap 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/jumbo-boomgaard-perensap-1-l-183735FLS,2025-12-09 15:21:41
Jumbo Rode Grapefruitsap 1 L,"€1,89",JA,,,,,https://www.jumbo.com/producten/jumbo-rode-grapefruitsap-1-l-141230PAK,2025-12-09 15:21:43
Van de Boom Peer 1L,"€2,49",JA,,,,,https://www.jumbo.com/producten/van-de-boom-peer-1l-218501PAK,2025-12-09 15:21:46
CoolBest 100% Juice Strawberry Hill 1 L,"€3,39",JA,,,,,https://www.jumbo.com/producten/coolbest-100-juice-strawberry-hill-1-l-420495PAK,2025-12-09 15:21:48
DubbelDrank Sinaasappel & Perzik met Appel 1 L,"€2,49",JA,,,,,https://www.jumbo.com/producten/dubbeldrank-sinaasappel-perzik-met-appel-1-l-166465PAK,2025-12-09 15:21:51
"DubbelFrisss 1Kcal Sinaasappel - Spritzzz 1,5L","€2,89",JA,0.0 g,0.2 g,0.0 g,6 kJ/,"https://www.jumbo.com/producten/dubbelfrisss-1kcal-sinaasappel-spritzzz-1,5l-670385PAK",2025-12-09 15:21:54
CoolBest 100% Juice Mango Dream 1 L,"€3,39",JA,0.3 g,10.5 g,0 g,194 kJ / 46 kcal,https://www.jumbo.com/producten/coolbest-100-juice-mango-dream-1-l-420500PAK,2025-12-09 15:21:56
Pfanner B + C + E Wildberries 2 L,"€2,59",JA,"<0,5 g",10 g,"<0,5 g",185 kJ,https://www.jumbo.com/producten/pfanner-b-c-e-wildberries-2-l-608960PAK,2025-12-09 15:21:59
DubbelDrank Ananas & Guave met Sinaasappel en Appel 1 L,"€2,49",JA,0.2 g,10.3 g,0 g,188 kJ,https://www.jumbo.com/producten/dubbeldrank-ananas-guave-met-sinaasappel-en-appel-1-l-166469PAK,2025-12-09 15:22:02
Jumbo Vers Sap Sinaasappel & Mango 1 L,"€4,49",JA,"0,6 g","11,8 g","0,1 g",kJ 219 / kcal 52,https://www.jumbo.com/producten/jumbo-vers-sap-sinaasappel-mango-1-l-647397FLS,2025-12-09 15:22:04
Jumbo Vers Sap Sinaasappel & Mango 500ML,"€2,49",JA,"0,6 g","11,8 g","0,1 g",kJ 219 / kcal 52,https://www.jumbo.com/producten/jumbo-vers-sap-sinaasappel-mango-500ml-647410FLS,2025-12-09 15:22:07
Jumbo Fruitdrink Framboos met Appel 10 x 200ML,"€2,89",JA,"0,0 g","5,9 g","0,0 g",kJ 103,https://www.jumbo.com/producten/jumbo-fruitdrink-framboos-met-appel-10-x-200ml-441731PAK,2025-12-09 15:22:10
CoolBest FruitDrink Orange 1L,"€2,39",JA,0.2 g,6.0 g,0.02 g,113.0 kJ,https://www.jumbo.com/producten/coolbest-fruitdrink-orange-1l-609191PAK,2025-12-09 15:22:12
Appelsientje FruitDrink Rode Druif 1 L,"€1,99",JA,0.1 g,8.2 g,0.02 g,146.0 kJ,https://www.jumbo.com/producten/appelsientje-fruitdrink-rode-druif-1-l-608975PAK,2025-12-09 15:22:15
CoolBest Protein Drink Mango 330ml,"€1,99",JA,6.2 g,7.4 g,0.0 g,256.0 kJ,https://www.jumbo.com/producten/coolbest-protein-drink-mango-330ml-686188PAK,2025-12-09 15:22:18
CoolBest FruitDrink Pineapple 1 L,"€2,29",JA,0.1 g,7.2 g,0.02 g,131.0 kJ,https://www.jumbo.com/producten/coolbest-fruitdrink-pineapple-1-l-609195PAK,2025-12-09 15:22:20
Nakd. Protein Cocoa Hazelnut 3x45g,"€3,75",JA,16.1 g,32.6 g,21.7 g,1754.0 kJ,https://www.jumbo.com/producten/nakd-protein-cocoa-hazelnut-3x45g-645667DS,2025-12-09 15:22:23
Jumbo Mueslireep Melkchocolade 6 Stuks,"€1,65",JA,7.3 g,49.5 g,12.9 g,kJ 1583,https://www.jumbo.com/producten/jumbo-mueslireep-melkchocolade-6-stuks-686540DS,2025-12-09 15:22:26
BitesWeLove Bwl Chewy Oat Bar Chocolate 4 stuks,"€3,75",JA,9.0 g,36.0 g,16.0 g,1589.0 kJ,https://www.jumbo.com/producten/biteswelove-bwl-chewy-oat-bar-chocolate-4-stuks-686884PAK,2025-12-09 15:22:28
Jumbo Mueslireep Naturel 6 Stuks,"€1,29",JA,6.9 g,50.4 g,7.7 g,kJ 1419,https://www.jumbo.com/producten/jumbo-mueslireep-naturel-6-stuks-686546DS,2025-12-09 15:22:31
Jumbo Mueslireep Pure Chocolade 6 Stuks,"€1,79",JA,8.4 g,65.2 g,6.0 g,kJ 1305,https://www.jumbo.com/producten/jumbo-mueslireep-pure-chocolade-6-stuks-686529DS,2025-12-09 15:22:33
Sultana Havermoutsticks Naturel,"€2,33",JA,,,,,https://www.jumbo.com/producten/sultana-havermoutsticks-naturel-610226DS,2025-12-09 15:22:36
Jumbo Mueslireep Yoghurtsmaak & Rood Fruit 6 Stuks,"€2,25",JA,6.1 g,55.4 g,9.7 g,kJ 1533,https://www.jumbo.com/producten/jumbo-mueslireep-yoghurtsmaak-rood-fruit-6-stuks-686530DS,2025-12-09 15:22:39
Jumbo Mueslireep Hazelnoot 6 Stuks,"€1,48",JA,7.1 g,45.1 g,12.3 g,kJ 1519,https://www.jumbo.com/producten/jumbo-mueslireep-hazelnoot-6-stuks-686545DS,2025-12-09 15:22:42
