Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
"Jumbo Fris Fruitige Bosvruchten Magere Yoghurt 0,1% Vet 1 L","€1,75",JA,3.1 g,11.6 g,0.1 g,kJ 268,"https://www.jumbo.com/producten/jumbo-fris-fruitige-bosvruchten-magere-yoghurt-0,1-vet-1-l-304573PAK",2025-12-09 15:15:10
"Jumbo Magere Yoghurt 1,5L","€1,99",JA,"4,5 g","4,0 g","0,3 g",kJ 156 / kcal 37,"https://www.jumbo.com/producten/jumbo-magere-yoghurt-1,5l-556405PAK",2025-12-09 15:15:13
Campina Volle Yoghurt 1 L,"€1,95",JA,,,,,https://www.jumbo.com/producten/campina-volle-yoghurt-1-l-526937PAK,2025-12-09 15:15:15
Jumbo Yoghurt Griekse Stijl Aardbei 1 kg,"€2,59",JA,"2,9 g","13,5 g","8,2 g",kJ 583 / kcal 140,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-aardbei-1-kg-430618EM,2025-12-09 15:15:18
Jumbo Volle Yoghurt 1L,"€1,69",JA,3.6 g,3.4 g,3.0 g,230.0 kJ,https://www.jumbo.com/producten/jumbo-volle-yoghurt-1l-235186PAK,2025-12-09 15:15:21
Jumbo Yoghurt Griekse Stijl Perzik Passievrucht 1 kg,"€2,59",JA,"2,9 g","13,5 g","8,2 g",kJ 583 / kcal 140,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-perzik-passievrucht-1-kg-430751EM,2025-12-09 15:15:23
Campina Milde Halfvolle Yoghurt 1 L,"€1,89",JA,4 g,3.8 g,1.5 g,206 kJ / 49 kcal,https://www.jumbo.com/producten/campina-milde-halfvolle-yoghurt-1-l-31677PAK,2025-12-09 15:15:26
Jumbo Yoghurtje Fruit met Aardbeien 200 g,"€1,39",JA,"3,9 g","11,9 g","2,8 g",kJ 375 / kcal 89,https://www.jumbo.com/producten/jumbo-yoghurtje-fruit-met-aardbeien-200-g-578580STK,2025-12-09 15:15:28
Jumbo Biologisch Volle Yoghurt 1 L,"€1,79",JA,3.6 g,3.4 g,3.0 g,230.0 kJ,https://www.jumbo.com/producten/jumbo-biologisch-volle-yoghurt-1-l-421677PAK,2025-12-09 15:15:31
Jumbo Yoghurt Griekse Stijl Aardbei 4 x 150 g,"€2,49",JA,"2,3 g","12,4 g","7,2 g",kJ 518/kcal 124,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-aardbei-4-x-150-g-561930PAK,2025-12-09 15:15:33
Jumbo Yoghurt Griekse Stijl Vanillesmaak 1 kg,"€2,49",JA,"2,6 g","12,3 g","8,2 g",kJ 557 / kcal 133,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-vanillesmaak-1-kg-500820EM,2025-12-09 15:15:36
Jumbo Yoghurt Griekse Stijl Honing 4 x 150 g,"€2,49",JA,"2,4 g","12,5 g","8,1 g",kJ 553/kcal 133,https://www.jumbo.com/producten/jumbo-yoghurt-griekse-stijl-honing-4-x-150-g-561928PAK,2025-12-09 15:15:39
Jumbo Yoghurt met Vanillesmaak 200 g,"€1,49",JA,"4,1 g","10,1 g","3,1 g",kJ 355 / kcal 84,https://www.jumbo.com/producten/jumbo-yoghurt-met-vanillesmaak-200-g-578055STK,2025-12-09 15:15:41
Optimel Magere Kwark met Magere Yoghurt Stracciatella Smaak 0% Vet 500g,"€2,59",JA,6.9 g,3.7 g,- g,222 kJ / 52 kcal,https://www.jumbo.com/producten/optimel-magere-kwark-met-magere-yoghurt-stracciatella-smaak-0-vet-500g-421722CUP,2025-12-09 15:15:44
Jumbo Franse Kwark Mager 1 kg,"€1,85",JA,"9,0 g","4,4 g","0,5 g",kJ 250,https://www.jumbo.com/producten/jumbo-franse-kwark-mager-1-kg-394270CUP,2025-12-09 15:15:47
Danone Skyr Drink Aardbei Protein 0% Vet 270 ml,"€1,79",JA,6.0 g,8.7 g,0.2 g,257.0 kJ,https://www.jumbo.com/producten/danone-skyr-drink-aardbei-protein-0-vet-270-ml-697183STK,2025-12-09 15:15:49
Jumbo Franse Kwark Vol 500 g,"€1,45",JA,"7,6 g","4,0 g","8,6 g",kJ 529,https://www.jumbo.com/producten/jumbo-franse-kwark-vol-500-g-394227CUP,2025-12-09 15:15:52
Jumbo Franse Kwark Mager 500 g,"€1,15",JA,"9,0 g","4,4 g","0,5 g",kJ 250,https://www.jumbo.com/producten/jumbo-franse-kwark-mager-500-g-394225CUP,2025-12-09 15:15:54
Danio Romige Kwark Perzik 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-perzik-450-g-692581BKR,2025-12-09 15:15:57
Jumbo Milde Kwark Mager 500 g,"€1,49",JA,"9,0 g","4,8 g","0,5 g",kJ 268,https://www.jumbo.com/producten/jumbo-milde-kwark-mager-500-g-394229CUP,2025-12-09 15:15:59
Optimel Magere Kwark met Magere Yoghurt Aardbei 0% Vet 500g,"€2,59",JA,6.6 g,4.1 g,- g,217 kJ / 51 kcal,https://www.jumbo.com/producten/optimel-magere-kwark-met-magere-yoghurt-aardbei-0-vet-500g-712760PAK,2025-12-09 15:16:02
Danio Romige Kwark Stracciatella 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-stracciatella-450-g-384291BKR,2025-12-09 15:16:04
Jumbo Magere Kwark met Yoghurt Vanille 0% Vet 500 g,"€1,59",JA,8.1 g,4.8 g,0.0 g,kJ 233,https://www.jumbo.com/producten/jumbo-magere-kwark-met-yoghurt-vanille-0-vet-500-g-715947POT,2025-12-09 15:16:07
Jumbo Kwark Toetje 6 x 100 g,"€2,25",JA,,,,,https://www.jumbo.com/producten/jumbo-kwark-toetje-6-x-100-g-324866CUP,2025-12-09 15:16:10
Campina Magere Milde Kwark met 'n Vleugje Vanille 500 g,"€2,09",JA,9.0 g,7.3 g,0.1 g,294.0 kJ,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-vanille-500-g-168787CUP,2025-12-09 15:16:12
Danio Romige Kwark Kers 450 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/danio-romige-kwark-kers-450-g-409201CUP,2025-12-09 15:16:15
Jumbo Magere Kwark met Yoghurt Aardbei Framboos 0% Vet 500 g,"€1,59",JA,7.2 g,5.8 g,0.0 g,kJ 234,https://www.jumbo.com/producten/jumbo-magere-kwark-met-yoghurt-aardbei-framboos-0-vet-500-g-716153POT,2025-12-09 15:16:17
Campina Magere Milde Kwark met 'n Vleugje Aardbei 500 g,"€2,09",JA,"9,0 g","7,3 g","0,1 g",294 kJ / 69 kcal,https://www.jumbo.com/producten/campina-magere-milde-kwark-met-n-vleugje-aardbei-500-g-347423CUP,2025-12-09 15:16:20
