Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Afbeelding,Verzameld op
"AH Magere yoghurt perzik,"€1,49",NEE,3.9 g,11.0 g,0.0 g,254.0 kJ (60.0 kcal),https://www.ah.nl/producten/product/wi575460/ah-magere-yoghurt-perzik,https://static.ah.nl/dam/product/AHI_4354523130313934333634?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:25:53",,,,,,,,,
"AH Magere yoghurt aardbei,"€1,69",NEE,3.9 g,11.0 g,0.0 g,254.0 kJ (60.0 kcal),https://www.ah.nl/producten/product/wi575364/ah-magere-yoghurt-aardbei,https://static.ah.nl/dam/product/AHI_4354523130313835303939?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:25:56",,,,,,,,,
"AH Halfvolle yoghurt,"€1,59",NEE,4.5 g,3.5 g,1.5 g,192.0 kJ (46.0 kcal),https://www.ah.nl/producten/product/wi121656/ah-halfvolle-yoghurt,https://static.ah.nl/dam/product/AHI_4354523130313033383438?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:00",,,,,,,,,
"AH Magere yoghurt,"€1,99",NEE,4.4 g,4.0 g,0.5 g,161.0 kJ (38.0 kcal),https://www.ah.nl/producten/product/wi177476/ah-magere-yoghurt,https://static.ah.nl/dam/product/AHI_4354523130313838393234?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:03",,,,,,,,,
"Zuivelhoeve Boer'n yoghurt aardbei,"€3,29",NEE,4.3 g,9.5 g,3.5 g,366.0 kJ (87.0 kcal),https://www.ah.nl/producten/product/wi550133/zuivelhoeve-boer-n-yoghurt-aardbei,https://static.ah.nl/dam/product/AHI_43545239393235363630?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:06",,,,,,,,,
"AH Biologisch Yoghurt Griekse stijl 2%,"€2,89",NEE,6.0 g,4.7 g,2.0 g,256.0 kJ (61.0 kcal),https://www.ah.nl/producten/product/wi585999/ah-biologisch-yoghurt-griekse-stijl-2,https://static.ah.nl/dam/product/AHI_4354523130313931393936?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:09",,,,,,,,,
"AH Yoghurt Griekse stijl,"€2,29",NEE,3.0 g,4.2 g,10.0 g,492.0 kJ (119.0 kcal),https://www.ah.nl/producten/product/wi412578/ah-yoghurt-griekse-stijl,https://static.ah.nl/dam/product/AHI_4354523130313839313030?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:12",,,,,,,,,
"Almhof Roomyoghurt Spaanse sinaasappel,"€2,59",NEE,2.7 g,13.1 g,8.1 g,578.0 kJ (138.0 kcal),https://www.ah.nl/producten/product/wi130176/almhof-roomyoghurt-spaanse-sinaasappel,https://static.ah.nl/dam/product/AHI_38626a63695234745476616f395868535859444e5551?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:14",,,,,,,,,
"AH Halfvolle yoghurt vanillesmaak,"€1,79",NEE,3.1 g,13.0 g,1.6 g,333.0 kJ (79.0 kcal),https://www.ah.nl/producten/product/wi373908,https://static.ah.nl/dam/product/AHI_4354523130303335303533?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:17",,,,,,,,,
"AH Yoghurt Griekse stijl,"€0,79",NEE,3.3 g,4.2 g,10.0 g,498.0 kJ (120.0 kcal),https://www.ah.nl/producten/product/wi438678/ah-yoghurt-griekse-stijl,https://static.ah.nl/dam/product/AHI_4354523130313832373031?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:20",,,,,,,,,
"AH Yoghurt Griekse stijl honing,"€2,49",NEE,2.7 g,12.0 g,7.9 g,543.0 kJ (130.0 kcal),https://www.ah.nl/producten/product/wi583339/ah-yoghurt-griekse-stijl-honing,https://static.ah.nl/dam/product/AHI_4354523130313839343031?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:23",,,,,,,,,
"Optimel Yoghurt bosvruchten,"€2,49",NEE,3.4 g,4.8 g,0.0 g,158.0 kJ (37.0 kcal),https://www.ah.nl/producten/product/wi114816/optimel-yoghurt-bosvruchten,https://static.ah.nl/dam/product/AHI_496d772d525f543654546d3552725747476357753067?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:26",,,,,,,,,
"Den Eelder Boeren volle yoghurt,"€2,19",NEE,3.5 g,4.0 g,4.0 g,267.0 kJ (64.0 kcal),https://www.ah.nl/producten/product/wi233527/den-eelder-boeren-volle-yoghurt,https://static.ah.nl/dam/product/AHI_43545239393739363338?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:29",,,,,,,,,
"Dodoni Griekse yoghurt 5% vet,"€4,99",NEE,7.9 g,2.8 g,5.0 g,367.0 kJ (88.0 kcal),https://www.ah.nl/producten/product/wi575467/dodoni-griekse-yoghurt-5-vet,https://static.ah.nl/dam/product/AHI_4c53784339436d5551372d35516e6e5a66364f6d5267?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:32",,,,,,,,,
"AH Terra Plantaardig kokos gurt ongezoet,"€2,29",NEE,1.6 g,1.4 g,17.0 g,689.0 kJ (167.0 kcal),https://www.ah.nl/producten/product/wi604342/ah-terra-plantaardig-kokos-gurt-ongezoet,https://static.ah.nl/dam/product/AHI_574961526e6d635052363655647653775331465f5651?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:36",,,,,,,,,
"Campina Yoghurt Griekse stijl 2%,"€3,39",NEE,6.4 g,4.1 g,2.0 g,267.0 kJ (63.0 kcal),https://www.ah.nl/producten/product/wi498204/campina-yoghurt-griekse-stijl-2,https://static.ah.nl/dam/product/AHI_4354523130313938313937?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:40",,,,,,,,,
"Arla Biologisch halfvolle yoghurt,"€1,99",NEE,4.0 g,4.5 g,1.5 g,215.0 kJ (51.0 kcal),https://www.ah.nl/producten/product/wi212539,https://static.ah.nl/dam/product/AHI_4354523130313535393334?revLabel=2&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:43",,,,,,,,,
"Campina Magere yoghurt,"€1,69",NEE,4.4 g,3.7 g,0.0 g,161.0 kJ (38.0 kcal),https://www.ah.nl/producten/product/wi221095,https://static.ah.nl/dam/product/AHI_38523874755f56795347713544454a7931464a494c41?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:46",,,,,,,,,
"Arla Lactofree halfvolle yoghurt,"€2,49",NEE,4.3 g,2.2 g,1.5 g,179.0 kJ (42.0 kcal),https://www.ah.nl/producten/product/wi212525,https://static.ah.nl/dam/product/AHI_79516a367446715f536e714e714939754d30684d6151?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:49",,,,,,,,,
"Zuivelhoeve Boer'n yoghurt bosvruchten,"€3,29",NEE,4.4 g,8.9 g,3.6 g,362.0 kJ (86.0 kcal),https://www.ah.nl/producten/product/wi550134/zuivelhoeve-boer-n-yoghurt-bosvruchten,https://static.ah.nl/dam/product/AHI_43545239393235363539?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:52",,,,,,,,,
"De Zaanse Hoeve Yoghurt Griekse stijl vanillesmaak,"€2,49",NEE,6.0 g,9.4 g,2.0 g,336.0 kJ (80.0 kcal),https://www.ah.nl/producten/product/wi570914/de-zaanse-hoeve-yoghurt-griekse-stijl-vanillesmaak,https://static.ah.nl/dam/product/AHI_4354523130313836393530?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:55",,,,,,,,,
"AH Yoghurt Griekse stijl 10% vet,"€1,99",NEE,4.5 g,3.5 g,10.0 g,506.0 kJ (122.0 kcal),https://www.ah.nl/producten/product/wi419839/ah-yoghurt-griekse-stijl-10-vet,https://static.ah.nl/dam/product/AHI_4354523130313834383535?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:26:58",,,,,,,,,
"Almhof Volle kwark spaanse sinaasappel,"€2,99",JA,5.6 g,14.2 g,5.4 g,547.0 kJ (130.0 kcal),https://www.ah.nl/producten/product/wi187533/almhof-volle-kwark-spaanse-sinaasappel,https://static.ah.nl/dam/product/AHI_4d466d315667594d537171556465567668686d362d77?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:00",,,,,,,,,
"Campina Magere milde kwark vanille voordeelpak,"€3,69",JA,9.0 g,7.3 g,0.1 g,294.0 kJ (69.0 kcal),https://www.ah.nl/producten/product/wi555453/campina-magere-milde-kwark-vanille-voordeelpak,https://static.ah.nl/dam/product/AHI_4354523130313036353737?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:03",,,,,,,,,
"De Zaanse Hoeve Magere kwark,"€1,99",NEE,8.5 g,4.0 g,0.0 g,213.0 kJ (50.0 kcal),https://www.ah.nl/producten/product/wi458995/de-zaanse-hoeve-magere-kwark,https://static.ah.nl/dam/product/AHI_43545239363737303234?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:07",,,,,,,,,
"AH Magere kwark,"€2,49",NEE,9.0 g,4.0 g,0.0 g,221.0 kJ (52.0 kcal),https://www.ah.nl/producten/product/wi231878/ah-magere-kwark,https://static.ah.nl/dam/product/AHI_4354523130303532353433?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:10",,,,,,,,,
"AH Biologisch Magere kwark,"€1,65",NEE,9.6 g,3.7 g,0.07 g,229.0 kJ (54.0 kcal),https://www.ah.nl/producten/product/wi114817/ah-biologisch-magere-kwark,https://static.ah.nl/dam/product/AHI_43545239363737303532?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:13",,,,,,,,,
"Campina Volle kwark naturel voordeelpak,"€3,99",JA,8.5 g,2.8 g,8.8 g,531.0 kJ (127.0 kcal),https://www.ah.nl/producten/product/wi498201,https://static.ah.nl/dam/product/AHI_4354523130313036353933?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:16",,,,,,,,,
"AH Magere kwark,"€1,49",NEE,9.0 g,4.0 g,0.0 g,221.0 kJ (52.0 kcal),https://www.ah.nl/producten/product/wi63453/ah-magere-kwark,https://static.ah.nl/dam/product/AHI_4354523130303236303732?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:19",,,,,,,,,
"De Zaanse Hoeve Volle kwark,"€1,55",NEE,7.1 g,3.8 g,7.9 g,478.0 kJ (115.0 kcal),https://www.ah.nl/producten/product/wi451700/de-zaanse-hoeve-volle-kwark,https://static.ah.nl/dam/product/AHI_4354523130313836343633?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:23",,,,,,,,,
"AH Biologisch Volle kwark,"€1,89",NEE,7.0 g,3.5 g,6.5 g,419.0 kJ (101.0 kcal),https://www.ah.nl/producten/product/wi396393/ah-biologisch-volle-kwark,https://static.ah.nl/dam/product/AHI_4354523130313835383834?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:28",,,,,,,,,
"AH Magere kwark met magere yoghurt aardbei,"€1,59",NEE,6.4 g,3.6 g,0.2 g,178.0 kJ (42.0 kcal),https://www.ah.nl/producten/product/wi585909/ah-magere-kwark-met-magere-yoghurt-aardbei,https://static.ah.nl/dam/product/AHI_4354523130313838313138?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:32",,,,,,,,,
"AH Magere kwark met magere yoghurt vanille,"€1,59",NEE,6.4 g,3.4 g,0.2 g,174.0 kJ (41.0 kcal),https://www.ah.nl/producten/product/wi585910/ah-magere-kwark-met-magere-yoghurt-vanille,https://static.ah.nl/dam/product/AHI_4354523130313836323934?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:35",,,,,,,,,
"AH Volle kwark,"€1,79",NEE,8.0 g,4.0 g,8.0 g,500.0 kJ (120.0 kcal),https://www.ah.nl/producten/product/wi130184/ah-volle-kwark,https://static.ah.nl/dam/product/AHI_4354523130313934333937?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:38",,,,,,,,,
"AH Halfvolle kwark,"€1,69",NEE,7.5 g,3.9 g,3.0 g,305.0 kJ (73.0 kcal),https://www.ah.nl/producten/product/wi403752/ah-halfvolle-kwark,https://static.ah.nl/dam/product/AHI_4354523130303236303734?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:41",,,,,,,,,
"AH Magere kwark mager yoghurt stracciatella,"€1,69",NEE,6.6 g,3.4 g,0.5 g,189.0 kJ (45.0 kcal),https://www.ah.nl/producten/product/wi585911/ah-magere-kwark-mager-yoghurt-stracciatella,https://static.ah.nl/dam/product/AHI_4354523130313930373036?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:44",,,,,,,,,
"Campina Magere milde kwark met vleugje vanille,"€2,09",NEE,9.2 g,7.0 g,0.1 g,275.0 kJ (65.0 kcal),https://www.ah.nl/producten/product/wi387974/campina-magere-milde-kwark-met-vleugje-vanille,https://static.ah.nl/dam/product/AHI_4354523130313036363033?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:48",,,,,,,,,
"Campina Volle milde kwark,"€2,29",NEE,8.5 g,2.8 g,8.8 g,531.0 kJ (127.0 kcal),https://www.ah.nl/producten/product/wi407975/campina-volle-milde-kwark,https://static.ah.nl/dam/product/AHI_4354523130313036363036?revLabel=1&rendition=800x800_JPG_Q90&fileType=binary,2025-12-15 14:27:51",,,,,,,,,
