Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op,parsed_price_eur,protein_per_100g_g,package_weight_g,total_protein_g_per_package,PPG_eur_per_protein_g,PQI_estimate,MAS_score
XXL Nutrition Proteine Bar Stracciatella 60g,"€2,49",JA,37.0 g,27.0 g,11.0 g,1614.0 kJ,https://www.jumbo.com/producten/xxl-nutrition-proteine-bar-stracciatella-60g-711671RP,2025-12-09 15:42:25,2.49,37.0,60.0,22.2,0.112162,0.97,1.0
Upfront Eiwitreep Cookie Dough 60g,"€2,69",JA,25.0 g,36.0 g,18.0 g,1780.0 kJ,https://www.jumbo.com/producten/upfront-eiwitreep-cookie-dough-60g-708621PAK,2025-12-09 15:42:28,2.69,25.0,60.0,15.0,0.179333,1.0,0.9
Kellogg's Special K High Protein 21% Cocoa Hazelnut Flavour 320 g,"€3,95",JA,,,,,https://www.jumbo.com/producten/kellogg-s-special-k-high-protein-21-cocoa-hazelnut-flavour-320-g-699951DS,2025-12-09 15:42:30,3.95,,320.0,,,0.7,
Zuivelhoeve XXL Nutrition Fit Quark Strawberry Protein Quark 205 g,"€1,99",JA,12 g,3.3 g,0.4 g,283 kJ / 67 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-quark-strawberry-protein-quark-205-g-685838ZK,2025-12-09 15:42:33,1.99,12.0,205.0,24.6,0.080894,0.72,1.0
Melkunie Protein Strawberry Flavoured Quark 200 g,"€1,59",JA,10 g,6.6 g,0.2 g,305 kJ 72 kcal,https://www.jumbo.com/producten/melkunie-protein-strawberry-flavoured-quark-200-g-590777CUP,2025-12-09 15:42:36,1.59,10.0,200.0,20.0,0.0795,0.9,1.0
Chocomel Protein 300 ml,"€1,89",JA,,,,,https://www.jumbo.com/producten/chocomel-protein-300-ml-706968FLS,2025-12-09 15:42:38,1.89,,300.0,,,0.7,
Kosso Nutrition Protein Pops Vanille 250g,"€7,49",JA,7.87 g,9.73 g,1.02 g,359.0 kJ,https://www.jumbo.com/producten/kosso-nutrition-protein-pops-vanille-250g-684241DS,2025-12-09 15:42:41,7.49,7.87,250.0,19.675,0.380686,0.679,0.984
Muscle Meat High Protein Meals High Protein Kipfiletnuggets 400 g,"€6,95",JA,20.2 g,7.7 g,6.6 g,683 Kj/ 163 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-high-protein-kipfiletnuggets-400-g-698690TRA,2025-12-09 15:42:43,6.95,20.2,400.0,80.8,0.086015,0.802,1.0
Lindahls Protein Kvarg Framboossmaak 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-kvarg-framboossmaak-450-g-699255POT,2025-12-09 15:42:46,2.79,,450.0,,,0.7,
Alpro Protein Tropical 200g,"€2,09",JA,"7,5 g","7,2 g","2,2 g",344 kJ / 82 kcal,https://www.jumbo.com/producten/alpro-protein-tropical-200g-603216CUP,2025-12-09 15:42:49,2.09,7.5,200.0,15.0,0.139333,0.675,0.938
Chocomel Protein 4 x 300 ml,"€7,56",JA,,,,,https://www.jumbo.com/producten/chocomel-protein-4-x-300-ml-721750STK,2025-12-09 15:42:51,7.56,,1200.0,,,0.7,
Melkunie Protein Strawberry Flavoured Quark 3x 200 g,"€4,77",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-strawberry-flavoured-quark-3x-200-g-736566STK,2025-12-09 15:42:54,4.77,,600.0,,,0.9,
XXL Nutrition Instant Protein Oats Appel Kaneel 1KG,"€18,99",JA,,,,,https://www.jumbo.com/producten/xxl-nutrition-instant-protein-oats-appel-kaneel-1kg-699810ZK,2025-12-09 15:42:56,18.99,,1000.0,,,0.65,
Nakd. Protein Caramel 3x45g,"€3,71",JA,17.0 g,33.2 g,21.3 g,1762.0 kJ,https://www.jumbo.com/producten/nakd-protein-caramel-3x45g-645666DS,2025-12-09 15:42:59,3.71,17.0,135.0,22.95,0.161656,0.77,1.0
Coco Vite Eiwit 500 g,"€3,99",JA,10.9 g,0.7 g,0.2 g,201.0 kJ,https://www.jumbo.com/producten/coco-vite-eiwit-500-g-624271PAK,2025-12-09 15:43:01,3.99,10.9,500.0,54.5,0.073211,0.959,0.7
Bolletje Protein & Low Carb Crackers 4 x 3 Stuks 190 g,"€2,99",JA,,,,,https://www.jumbo.com/producten/bolletje-protein-low-carb-crackers-4-x-3-stuks-190-g-586568DS,2025-12-09 15:43:04,2.99,,190.0,,,0.7,
Muscle Meat Proteine Melk 1 L,"€2,95",JA,7.5 g,5.1 g,0.9 g,248 kJ | 59 kcal,https://www.jumbo.com/producten/muscle-meat-proteine-melk-1-l-679641PAK,2025-12-09 15:43:06,2.95,7.5,1000.0,75.0,0.039333,0.875,0.938
HAK Mexicaanse Chili Protein Bowl 555g,"€3,99",JA,6.4 g,10.3 g,2.1 g,393.0 kJ,https://www.jumbo.com/producten/hak-mexicaanse-chili-protein-bowl-555g-648355ZK,2025-12-09 15:43:09,3.99,6.4,555.0,35.52,0.112331,0.664,0.8
Upfront Eiwit Milkshake Mango 330ML,"€2,29",JA,7.7 g,5.4 g,1.5 g,279.0 kJ,https://www.jumbo.com/producten/upfront-eiwit-milkshake-mango-330ml-707453FLS,2025-12-09 15:43:11,2.29,7.7,330.0,25.41,0.090122,0.927,0.0
Muscle Meat High Protein Meals Kipfilet Chunks Risotto Spinaci Spieropbouw 450 g,"€6,79",JA,10.3 g,12.7 g,4.5 g,553 Kj/ 132 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-risotto-spinaci-spieropbouw-450-g-587176SC,2025-12-09 15:43:14,6.79,10.3,450.0,46.35,0.146494,0.703,1.0
Muscle Meat High Protein Meals Kipfilet Saté Bami Goreng Spieropbouw 450 g,"€6,79",JA,11.7 g,12.9 g,2.5 g,511 Kj/ 12 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-sate-bami-goreng-spieropbouw-450-g-587173SC,2025-12-09 15:43:17,6.79,11.7,450.0,52.65,0.128965,0.717,1.0
Muscle Meat High Protein Meals Kipfilet Chunks Tortelloni Ricotta-Spinazie Spieropbouw 450 g,"€6,79",JA,11 g,9.7 g,5.1 g,542 Kj/ 130 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-tortelloni-ricotta-spinazie-spieropbouw-450-g-587177SC,2025-12-09 15:43:19,6.79,11.0,450.0,49.5,0.137172,0.71,1.0
Muscle Meat High Protein Meals Kipfilet Mexican Style Witte Rijst - Mais Mexicana Spieropbouw 450 g,"€6,79",JA,9 g,19.7 g,3.4 g,578 Kj/ 138 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-mexican-style-witte-rijst-mais-mexicana-spieropbouw-450-g-587175SC,2025-12-09 15:43:22,6.79,9.0,450.0,40.5,0.167654,0.69,1.0
Muscle Meat High Protein Meals Rundergehakt Taco Mezze Penne - Ratatouille Spieropbouw 450 g,"€6,79",JA,9.3 g,14.1 g,5.2 g,569 Kj/ 136 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-rundergehakt-taco-mezze-penne-ratatouille-spieropbouw-450-g-619650TRA,2025-12-09 15:43:25,6.79,9.3,450.0,41.85,0.162246,0.693,1.0
Muscle Meat High Protein Meals Kip Döner Kebab Aardappelgratin - Snijbonen Spieropbouw 450 g,"€6,79",JA,9.4 g,7.4 g,7.5 g,578 Kj/ 138 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kip-doner-kebab-aardappelgratin-snijbonen-spieropbouw-450-g-619651TRA,2025-12-09 15:43:27,6.79,9.4,450.0,42.3,0.16052,0.694,1.0
Muscle Meat High Protein Meals Kipfilet Chunks Risotto Fungi 450 g,"€6,79",JA,11.2 g,7.9 g,7.2 g,600 Kj/ 143 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-risotto-fungi-450-g-678897TRA,2025-12-09 15:43:30,6.79,11.2,450.0,50.4,0.134722,0.712,1.0
Muscle Meat High Protein Meals Kipfilet Paprika Chili Tuinerwten - Macaroni Kaas Spieropbouw 450 g,"€6,79",JA,11.8 g,10.6 g,2.9 g,498 Kj/ 119 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-paprika-chili-tuinerwten-macaroni-kaas-spieropbouw-450-g-587172SC,2025-12-09 15:43:32,6.79,11.8,450.0,53.1,0.127872,0.768,1.0
Muscle Meat High Protein Meals Kipfilet Chunks Gnocchi met Gegrilde Groenten 450 g,"€6,79",JA,10.3 g,12.3 g,5.5 g,590 Kj/ 141 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-gnocchi-met-gegrilde-groenten-450-g-686523TRA,2025-12-09 15:43:35,6.79,10.3,450.0,46.35,0.146494,0.703,1.0
Muscle Meat High Protein Meals Kipfilet Chunks Base Nasi Goreng Spieropbouw 450g,"€6,79",JA,10.8 g,10.8 g,2.5 g,437 Kj/ 104 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-base-nasi-goreng-spieropbouw-450g-698644TRA,2025-12-09 15:43:38,6.79,10.8,450.0,48.6,0.139712,0.708,1.0
Muscle Meat High Protein Meals Kipfilet Piri Piri Mediterraanse Gratin Spieropbouw 450 g,"€6,79",JA,10.1g,6.3g,3.3g,410Kj/ 98 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-piri-piri-mediterraanse-gratin-spieropbouw-450-g-678836TRA,2025-12-09 15:43:40,6.79,10.1,450.0,45.45,0.149395,0.701,1.0
Muscle Meat High Protein Meals Kipfilet Chunks Penne - Spinazie Mediterranea 500 g,"€6,79",JA,9.8 g,11.7 g,2.8 g,482 Kj/ 115 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-penne-spinazie-mediterranea-500-g-686522TRA,2025-12-09 15:43:43,6.79,9.8,500.0,49.0,0.138571,0.698,1.0
Muscle Meat High Protein Meals Kipfilet Teriyaki China Mix - Bruine Rijst 450 g,"€6,79",JA,8.9 g,9.7 g,1.1 g,358 Kj/ 87 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-teriyaki-china-mix-bruine-rijst-450-g-587174SC,2025-12-09 15:43:45,6.79,8.9,450.0,40.05,0.169538,0.689,1.0
Muscle Meat High Protein Meals Kipfilet Chunks Oriental Rijstmix 450 g,"€6,79",JA,9.3 g,9.3 g,2.8 g,427 Kj/ 102 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-chunks-oriental-rijstmix-450-g-686524TRA,2025-12-09 15:43:48,6.79,9.3,450.0,41.85,0.162246,0.693,1.0
Muscle Meat High Protein Meals Kipfilet Piri Piri Mexico Mix - Z. Aardappelpuree 450 g,"€6,79",JA,6.4 g,12 g,1 g,367 Kj/ 88 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-piri-piri-mexico-mix-z-aardappelpuree-450-g-587139SC,2025-12-09 15:43:50,6.79,6.4,450.0,28.8,0.235764,0.664,0.8
Muscle Meat High Protein Meals Kipfilet Paprika Chili Gnocchi Gratin Spieropbouw 450 g,"€6,79",JA,10.6 g,12 g,5.3 g,581 Kj/ 139 Kcal,https://www.jumbo.com/producten/muscle-meat-high-protein-meals-kipfilet-paprika-chili-gnocchi-gratin-spieropbouw-450-g-698691TRA,2025-12-09 15:43:53,6.79,10.6,450.0,47.7,0.142348,0.706,1.0
HAK Linzencurry Protein Bowl 555g,"€3,99",JA,6.3 g,6.7 g,1.7 g,319.0 kJ,https://www.jumbo.com/producten/hak-linzencurry-protein-bowl-555g-648354ZK,2025-12-09 15:43:55,3.99,6.3,555.0,34.965,0.114114,0.663,0.787
HAK Jackfruit Rendang Protein Bowl 555g,"€3,99",JA,6.4 g,8.2 g,2.8 g,388.0 kJ,https://www.jumbo.com/producten/hak-jackfruit-rendang-protein-bowl-555g-648357ZK,2025-12-09 15:43:58,3.99,6.4,555.0,35.52,0.112331,0.664,0.8
HAK Kikkererwten Tajine Protein Bowl 555g,"€3,99",JA,6.3 g,9.0 g,2.8 g,393.0 kJ,https://www.jumbo.com/producten/hak-kikkererwten-tajine-protein-bowl-555g-648356ZK,2025-12-09 15:44:01,3.99,6.3,555.0,34.965,0.114114,0.713,0.787
John West Protein Bowl Tonijn Bonen MSC 220 g,"€3,95",JA,13.0 g,8.0 g,6.6 g,635.0 kJ,https://www.jumbo.com/producten/john-west-protein-bowl-tonijn-bonen-msc-220-g-648623DS,2025-12-09 15:44:03,3.95,13.0,220.0,28.6,0.138112,0.73,1.0
John West Protein Bowl Tonijn Quinoa MSC 220 g,"€3,95",JA,13.0 g,7.3 g,8.2 g,677.0 kJ,https://www.jumbo.com/producten/john-west-protein-bowl-tonijn-quinoa-msc-220-g-648589DS,2025-12-09 15:44:06,3.95,13.0,220.0,28.6,0.138112,0.73,1.0
"Sam Mills Glutenvrije Fusilli van kikkererwten en gele erwten, eiwitrijk en glutenvrij 250g","€3,69",JA,40g,43g,2.8g,1556kJ / 368kcal,https://www.jumbo.com/producten/sam-mills-glutenvrije-fusilli-van-kikkererwten-en-gele-erwten-eiwitrijk-en-glutenvrij-250g-701325ZK,2025-12-09 15:44:08,3.69,40.0,250.0,100.0,0.0369,1.0,0.9
"Sam Mills Penne van rode linzen & gele erwten, eiwitrijk en glutenvrij 250g","€3,69",JA,40g,45g,1.2g,1525kJ / 360kcal,https://www.jumbo.com/producten/sam-mills-penne-van-rode-linzen-gele-erwten-eiwitrijk-en-glutenvrij-250g-701324STK,2025-12-09 15:44:11,3.69,40.0,250.0,100.0,0.0369,1.0,0.9
Jumbo Crackers High Protein met Pompoenpitten en Zonnebloempitten 8 Stuks,"€2,29",JA,30.8 g,13.8 g,28.0 g,kJ 1941,https://www.jumbo.com/producten/jumbo-crackers-high-protein-met-pompoenpitten-en-zonnebloempitten-8-stuks-660871ZK,2025-12-09 15:44:13,2.29,30.8,,,,1.0,1.0
TastyBasics Low Carb - High Protein Cracker Zonnebloem,"€3,09",JA,35 g,14 g,26 g,1876 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-cracker-zonnebloem-565462ZK,2025-12-09 15:44:16,3.09,35.0,,,,0.95,1.0
TastyBasics Low Carb - High Protein Cracker Maanzaad,"€3,26",JA,36 g,12 g,29 g,1962 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-cracker-maanzaad-618595ZK,2025-12-09 15:44:18,3.26,36.0,,,,0.96,1.0
Wasa Protein Wheat Knackebrod 200g,"€2,37",JA,,,,,https://www.jumbo.com/producten/wasa-protein-wheat-knackebrod-200g-691881ZK,2025-12-09 15:44:21,2.37,,200.0,,,0.7,
TastyBasics Low Carb - High Protein Cracker Meerzaden,"€3,09",JA,36 g,15 g,30 g,2072 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-cracker-meerzaden-565463ZK,2025-12-09 15:44:24,3.09,36.0,,,,0.96,1.0
Bolletje Proteïne Knäckebröd 22% Eiwit 4 x 4 Stuks 255 g,"€2,12",JA,,,,,https://www.jumbo.com/producten/bolletje-proteine-knackebrod-22-eiwit-4-x-4-stuks-255-g-575273DS,2025-12-09 15:44:26,2.12,,255.0,,,0.95,
BitesWeLove protein puff paprika bio 75g,"€2,39",JA,20.0 g,48.0 g,12.0 g,1643.0 kJ,https://www.jumbo.com/producten/biteswelove-protein-puff-paprika-bio-75g-711863ZK,2025-12-09 15:44:29,2.39,20.0,75.0,15.0,0.159333,0.8,1.0
BitesWeLove Protein Puff Zout & Peper BIO 75g,"€2,39",JA,22.0 g,48.0 g,11.0 g,1612.0 kJ,https://www.jumbo.com/producten/biteswelove-protein-puff-zout-peper-bio-75g-711862ZK,2025-12-09 15:44:31,2.39,22.0,75.0,16.5,0.144848,0.82,1.0
BitesWeLove Protein Puffs Vegan Cheese 75g,"€2,39",JA,21.0 g,49.0 g,9.2 g,1585.0 kJ,https://www.jumbo.com/producten/biteswelove-protein-puffs-vegan-cheese-75g-711864ZK,2025-12-09 15:44:34,2.39,21.0,75.0,15.75,0.151746,0.81,1.0
Nakd. Protein Cocoa Hazelnut 3x45g,"€3,75",JA,16.1 g,32.6 g,21.7 g,1754.0 kJ,https://www.jumbo.com/producten/nakd-protein-cocoa-hazelnut-3x45g-645667DS,2025-12-09 15:44:36,3.75,16.1,135.0,21.735,0.172533,0.761,1.0
HiPRO Protein Drink Vanille Cookies 6 x 300 ml,"€14,94",JA,8.3 g,5.5 g,0.5 g,252.0 kJ,https://www.jumbo.com/producten/hipro-protein-drink-vanille-cookies-6-x-300-ml-433887DSL,2025-12-09 15:44:39,14.94,8.3,1800.0,149.4,0.1,0.683,1.0
Nxt Level Proteine Caramel Cookie Bar 55g,"€2,47",JA,36.0 g,27.0 g,14.0 g,1516.0 kJ,https://www.jumbo.com/producten/nxt-level-proteine-caramel-cookie-bar-55g-638342PAK,2025-12-09 15:44:41,2.47,36.0,55.0,19.8,0.124747,0.96,1.0
Killerbody Protein Pancakes 225 g,"€2,49",JA,25.5 g,60.0 g,1.8 g,1474.0 kJ,https://www.jumbo.com/producten/killerbody-protein-pancakes-225-g-458510DS,2025-12-09 15:44:44,2.49,25.5,225.0,57.375,0.043399,0.855,1.0
Fitmeals High Protein Pancakes Naturel 160g,"€2,99",JA,13.8 g,29.0 g,7.4 g,995.0 kJ,https://www.jumbo.com/producten/fitmeals-high-protein-pancakes-naturel-160g-612700DS,2025-12-09 15:44:47,2.99,13.8,160.0,22.08,0.135417,0.738,1.0
Fitmeals  High Protein Pancakes Cacao 160g,"€2,89",JA,13.0 g,32.7 g,7.7 g,1055.0 kJ,https://www.jumbo.com/producten/fitmeals-high-protein-pancakes-cacao-160g-612701DS,2025-12-09 15:44:49,2.89,13.0,160.0,20.8,0.138942,0.73,1.0
TastyBasics Low Carb - High Protein Granola Noten,"€3,87",JA,28 g,18 g,28 g,1969 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-noten-419500DS,2025-12-09 15:44:52,3.87,28.0,,,,0.88,1.0
Holie's Granola Protein Crunch 350g,"€3,87",JA,20.0 g,30.0 g,24.0 g,1852.0 kJ,https://www.jumbo.com/producten/holie-s-granola-protein-crunch-350g-493509ZK,2025-12-09 15:44:54,3.87,20.0,350.0,70.0,0.055286,0.8,1.0
Holie's Crunchy Muesli Protein Chocolate 400g,"€4,15",JA,22.0 g,38.0 g,16.0 g,1792.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-chocolate-400g-625095DS,2025-12-09 15:44:57,4.15,22.0,400.0,88.0,0.047159,0.82,1.0
Holie's Crunchy Muesli Protein 400g,"€4,15",JA,23.0 g,36.0 g,20.0 g,1877.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-400g-606354DS,2025-12-09 15:44:59,4.15,23.0,400.0,92.0,0.045109,0.83,1.0
TastyBasics Low Carb - High Protein Granola Naturel,"€3,77",JA,32 g,21 g,16 g,1649 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-naturel-416938DS,2025-12-09 15:45:02,3.77,32.0,,,,0.92,1.0
TastyBasics Low Carb - High Protein Granola Choco Noten,"€3,95",JA,21 g,27 g,20 g,1764 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-choco-noten-646903DS,2025-12-09 15:45:05,3.95,21.0,,,,0.81,1.0
"Holie's Granola Protein Crunch Hazelnuts, Almonds & Seeds 6 x 350 g","€22,99",JA,20.0 g,30.0 g,24.0 g,1852.0 kJ,https://www.jumbo.com/producten/holie-s-granola-protein-crunch-hazelnuts-almonds-seeds-6-x-350-g-493509DSL,2025-12-09 15:45:07,22.99,20.0,2100.0,420.0,0.054738,0.8,1.0
TastyBasics Low Carb - High Protein Granola Aardbei,"€3,95",JA,31 g,24 g,15 g,1677 kJ,https://www.jumbo.com/producten/tastybasics-low-carb-high-protein-granola-aardbei-676487DS,2025-12-09 15:45:10,3.95,31.0,,,,0.91,1.0
Holie's Crunchy Muesli Protein Speculaas 400g,"€4,15",JA,22.0 g,38.0 g,17.0 g,1823.0 kJ,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-speculaas-400g-676006DS,2025-12-09 15:45:12,4.15,22.0,400.0,88.0,0.047159,0.82,1.0
Holie's Crunchy Muesli Protein Peanut Butter 400 g,"€4,15",JA,25 g,32 g,23 g,1944 kJ / 466 kcal,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-peanut-butter-400-g-676007DS,2025-12-09 15:45:15,4.15,25.0,400.0,100.0,0.0415,0.9,1.0
Holie's Granola Protein Peanut Butter 350g,"€3,95",JA,20 g,27 g,28 g,1944 kJ / 467 kcal,https://www.jumbo.com/producten/holie-s-granola-protein-peanut-butter-350g-674151ZK,2025-12-09 15:45:18,3.95,20.0,350.0,70.0,0.056429,0.85,1.0
Holie's Crunchy Muesli Protein Coconut Cacao 400 g,"€4,15",JA,22 g,38 g,17 g,1813 kJ / 434 kcal,https://www.jumbo.com/producten/holie-s-crunchy-muesli-protein-coconut-cacao-400-g-676309DS,2025-12-09 15:45:20,4.15,22.0,400.0,88.0,0.047159,0.82,1.0
Holie's Gluten Free Granola Protein Nuts 330 g,"€4,19",JA,22 g,28 g,25 g,1865 kJ / 455 kcal,https://www.jumbo.com/producten/holie-s-gluten-free-granola-protein-nuts-330-g-710419ZK,2025-12-09 15:45:23,4.19,22.0,330.0,72.6,0.057713,0.82,1.0
Quaker Oats Express Havermout Proteine Naturel 302 gr,"€3,46",JA,22 g,53 g,7.6 g,1614 kJ,https://www.jumbo.com/producten/quaker-oats-express-havermout-proteine-naturel-302-gr-269996STK,2025-12-09 15:45:25,3.46,22.0,,,,0.77,1.0
Danone Skyr Naturel High Protein 0% Vet 450 g,"€1,99",JA,9.0 g,3.4 g,0.1 g,261.0 kJ,https://www.jumbo.com/producten/danone-skyr-naturel-high-protein-0-vet-450-g-697181STK,2025-12-09 15:45:28,1.99,9.0,450.0,40.5,0.049136,0.89,1.0
Ehrmann High Protein Vanilla Mousse 200 g,"€2,19",JA,,,,322kJ/76kcal,https://www.jumbo.com/producten/ehrmann-high-protein-vanilla-mousse-200-g-576943CUP,2025-12-09 15:45:31,2.19,,200.0,,,0.7,
Lindahls Protein Mango-Passievruchtsmaak 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-mango-passievruchtsmaak-450-g-699256POT,2025-12-09 15:45:33,2.79,,450.0,,,0.7,
Lindahls Protein Kvarg Vanillesmaak 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-kvarg-vanillesmaak-450-g-699253POT,2025-12-09 15:45:36,2.79,,450.0,,,0.7,
HiPRO Protein Skyr Stijl Vanille 450g,"€2,99",JA,,,,,https://www.jumbo.com/producten/hipro-protein-skyr-stijl-vanille-450g-478256CUP,2025-12-09 15:45:38,2.99,,450.0,,,0.9,
Melkunie Protein Vanilla Quark 200 g,"€1,49",JA,10.0 g,6.9 g,0.2 g,312.0 kJ,https://www.jumbo.com/producten/melkunie-protein-vanilla-quark-200-g-593943CUP,2025-12-09 15:45:41,1.49,10.0,200.0,20.0,0.0745,0.9,1.0
Lindahls Protein Kvarg Stracciatella 450 g,"€2,79",JA,,,,,https://www.jumbo.com/producten/lindahls-protein-kvarg-stracciatella-450-g-699254POT,2025-12-09 15:45:43,2.79,,450.0,,,0.7,
Jude's Schepijs Protein Chocolade Brownie 460ml,"€6,49",JA,4.1 g,15.0 g,3.8 g,486.0 kJ,https://www.jumbo.com/producten/jude-s-schepijs-protein-chocolade-brownie-460ml-699467CUP,2025-12-09 15:45:46,6.49,4.1,460.0,18.86,0.344115,0.641,0.512
Alpro Protein Sojadrink Chocolade Smaak 1L,"€2,99",JA,5.0 g,5.3 g,2.8 g,291 kJ / 69 kcal,https://www.jumbo.com/producten/alpro-protein-sojadrink-chocolade-smaak-1l-495543STK,2025-12-09 15:45:49,2.99,5.0,1000.0,50.0,0.0598,0.77,0.625
HiPRO Protein Mousse Dark Chocolate 200 g,"€2,49",JA,10.0 g,5.3 g,2.3 g,355.0 kJ,https://www.jumbo.com/producten/hipro-protein-mousse-dark-chocolate-200-g-578678CUP,2025-12-09 15:45:51,2.49,10.0,200.0,20.0,0.1245,0.7,1.0
Melkunie Protein Food to Go Chocolate Caramel Flavour 500 ml,"€3,49",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-food-to-go-chocolate-caramel-flavour-500-ml-709780FLS,2025-12-09 15:45:54,3.49,,500.0,,,0.9,
Oppo Pro High Protein Chocolate Brownie 150g,"€3,45",JA,10.0g,15.1g,5.0g,652 kJ,https://www.jumbo.com/producten/oppo-pro-high-protein-chocolate-brownie-150g-683156CUP,2025-12-09 15:45:56,3.45,10.0,150.0,15.0,0.23,0.7,1.0
Nature Valley Protein Chocolate & Cranberries 4 x 40 g,"€4,25",JA,,,,,https://www.jumbo.com/producten/nature-valley-protein-chocolate-cranberries-4-x-40-g-579773DS,2025-12-09 15:45:59,4.25,,160.0,,,0.7,
Alpro Plantaardige Variatie Op Yoghurt Aardbei 500g,"€2,79",JA,"3,6 g","8,1 g","2,1 g",286 kJ / 68 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-aardbei-500g-352668CUP,2025-12-09 15:14:04,2.79,3.6,500.0,18.0,0.155,0.836,0.0
Alpro Plantaardige Variatie Op Yoghurt Bosbes 500g,"€2,79",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-bosbes-500g-44504BAK,2025-12-09 15:14:07,2.79,,500.0,,,0.9,
Alpro Plantaardige Variatie Op Yoghurt Kers 500g,"€2,79",JA,"3,7 g","9,4 g","2,0 g",314 kJ / 75 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-kers-500g-86958CUP,2025-12-09 15:14:09,2.79,3.7,500.0,18.5,0.150811,0.837,0.0
Alpro Plantaardige Variatie Op Yoghurt Perzik 500g,"€2,79",JA,"3,6 g","8,3 g","2,1 g",292 kJ / 69 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-perzik-500g-522825BAK,2025-12-09 15:14:12,2.79,3.6,500.0,18.0,0.155,0.836,0.0
Alpro Plantaardige Variatie Op Yoghurt Vanille 500g,"€2,79",JA,,,,,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-vanille-500g-10329BKR,2025-12-09 15:14:15,2.79,,500.0,,,0.9,
Alpro Plantaardige Variatie Op Griekse Stijl Yoghurt 3.4% Vet 400g,"€2,49",JA,"4,0 g","2,5 g","3,4 g",256 kJ / 61 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-griekse-stijl-yoghurt-34-vet-400g-563545CUP,2025-12-09 15:14:17,2.49,4.0,400.0,16.0,0.155625,0.84,0.0
Alpro Mild & Creamy Naturel Plantaardige Variatie Op Yoghurt 755g,"€2,99",JA,,,,,https://www.jumbo.com/producten/alpro-mild-creamy-naturel-plantaardige-variatie-op-yoghurt-755g-486574PAK,2025-12-09 15:14:20,2.99,,755.0,,,0.9,
Alpro Plantaardige Variatie Op Yoghurt Naturel 500g,"€2,49",JA,"4,0 g","2,1 g","2,3 g",212 kJ / 51 kcal,https://www.jumbo.com/producten/alpro-plantaardige-variatie-op-yoghurt-naturel-500g-45178POT,2025-12-09 15:14:22,2.49,4.0,500.0,20.0,0.1245,0.84,0.0
