Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op,parsed_price_eur,protein_per_100g_g,package_weight_g,total_protein_g_per_package,PPG_eur_per_protein_g,PQI_estimate,MAS_score
NXT Level Protein Shake Chocolate Flavor 330 ml,"€2,33",JA,"7,6g","4,1g","0,3g",212kJ 51kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-chocolate-flavor-330-ml-472613FLS,2025-12-09 15:39:46,2.33,7.6,330.0,25.08,0.092903,0.676,0.95
Jumbo High Protein Shake Vanille Smaak 310 ml,"€1,85",JA,"8,0 g","4,1 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-vanille-smaak-310-ml-522116FLS,2025-12-09 15:39:49,1.85,8.0,310.0,24.8,0.074597,0.88,1.0
Zuivelhoeve XXL Nutrition Fit Drink Vanilla Flavor Protein Drink 330 ml,"€2,39",JA,10 g,3.5 g,0.8 g,255 kJ / 61 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-vanilla-flavor-protein-drink-330-ml-707504FLS,2025-12-09 15:39:52,2.39,10.0,330.0,33.0,0.072424,0.7,1.0
Starbucks Caramel Hazelnut Flavour Protein Drink with Coffee 330 ml,"€2,69",JA,6.1g,4.0g,1.1g,215kJ/51kcal,https://www.jumbo.com/producten/starbucks-caramel-hazelnut-flavour-protein-drink-with-coffee-330-ml-680652FLS,2025-12-09 15:39:54,2.69,6.1,330.0,20.13,0.133631,0.661,0.762
Starbucks Protein Drink with Coffee Chocolate Mocha Flavour 330 ml,"€2,69",JA,6.1g,4.1g,1.1g,218kJ/52kcal,https://www.jumbo.com/producten/starbucks-protein-drink-with-coffee-chocolate-mocha-flavour-330-ml-680584FLS,2025-12-09 15:39:57,2.69,6.1,330.0,20.13,0.133631,0.661,0.762
Lindahls Protein Smaak Aardbei Melkdrank 500 ml,"€1,99",JA,6.0 g,5.3 g,0.3 g,205 kJ,https://www.jumbo.com/producten/lindahls-protein-smaak-aardbei-melkdrank-500-ml-652394CUP,2025-12-09 15:39:59,1.99,6.0,500.0,30.0,0.066333,0.86,0.75
Lindahls Protein Smaak Vanille Melkdrank 500 ml,"€1,99",JA,6.0 g,5.6 g,0.3 g,210 kJ,https://www.jumbo.com/producten/lindahls-protein-smaak-vanille-melkdrank-500-ml-652393CUP,2025-12-09 15:40:02,1.99,6.0,500.0,30.0,0.066333,0.86,0.75
NXT Level Banana Flavor Protein Shake 330 ml,"€2,33",JA,7.6 g,3.0 g,0.2 g,188.0 kJ,https://www.jumbo.com/producten/nxt-level-banana-flavor-protein-shake-330-ml-472614FLS,2025-12-09 15:40:05,2.33,7.6,330.0,25.08,0.092903,0.676,0.95
NXT Level Strawberry Flavor Protein Shake 330 ml,"€2,35",JA,7.6 g,2.9 g,0.1 g,183.0 kJ,https://www.jumbo.com/producten/nxt-level-strawberry-flavor-protein-shake-330-ml-472615FLS,2025-12-09 15:40:07,2.35,7.6,330.0,25.08,0.0937,0.676,0.95
NXT Level Ice Coffee Flavor Protein Shake 330 ml,"€2,27",JA,"7,5g","3,9g","0,1g",201kJ 48kcal,https://www.jumbo.com/producten/nxt-level-ice-coffee-flavor-protein-shake-330-ml-457928FLS,2025-12-09 15:40:10,2.27,7.5,330.0,24.75,0.091717,0.675,0.938
