Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Melkunie Protein Chocolate Flavoured Pudding 200 g,"€10,74",JA,10 g,7.7 g,1.5 g,318 kJ / 75 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-200-g-577753TRL,2025-12-09 15:39:28
Melkunie Protein Chocolate Flavoured Pudding 3x 200 g,"€5,37",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-pudding-3x-200-g-736565STK,2025-12-09 15:39:31
Ilo eiwitrijke pudding banaan-toffee,"€1,69",JA,10.3 g,9.8 g,2.6 g,439 kJ / 104 kcal,https://www.jumbo.com/producten/ilo-eiwitrijke-pudding-banaan-toffee-672466STK,2025-12-09 15:39:33
NXT Level Vanilla Flavor Protein Shake 500 ml,"€2,99",JA,10.0 g,4.0 g,0.2 g,247.0 kJ,https://www.jumbo.com/producten/nxt-level-vanilla-flavor-protein-shake-500-ml-572979FLS,2025-12-09 15:39:36
Jumbo High Protein Shake Chocolade Smaak 310 ml,"€1,85",JA,"8,0 g","4,0 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-chocolade-smaak-310-ml-522115FLS,2025-12-09 15:39:39
Melkunie Protein Vanilla Flavoured Milk Drink 482 ml,"€2,49",JA,5.7 g,4.9 g,0.9 g,216 kJ 51 kcal,https://www.jumbo.com/producten/melkunie-protein-vanilla-flavoured-milk-drink-482-ml-202935STK,2025-12-09 15:39:41
NXT Level Protein Shake Milky Chocolate Flavor 500 ml,"€3,19",JA,10.0 g,4.2 g,0.4 g,257.0 kJ,https://www.jumbo.com/producten/nxt-level-protein-shake-milky-chocolate-flavor-500-ml-457926FLS,2025-12-09 15:39:44
NXT Level Protein Shake Chocolate Flavor 330 ml,"€2,33",JA,"7,6g","4,1g","0,3g",212kJ 51kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-chocolate-flavor-330-ml-472613FLS,2025-12-09 15:39:46
Jumbo High Protein Shake Vanille Smaak 310 ml,"€1,85",JA,"8,0 g","4,1 g","1,4 g",kJ 258 / kcal 61,https://www.jumbo.com/producten/jumbo-high-protein-shake-vanille-smaak-310-ml-522116FLS,2025-12-09 15:39:49
Zuivelhoeve XXL Nutrition Fit Drink Vanilla Flavor Protein Drink 330 ml,"€2,39",JA,10 g,3.5 g,0.8 g,255 kJ / 61 kcal,https://www.jumbo.com/producten/zuivelhoeve-xxl-nutrition-fit-drink-vanilla-flavor-protein-drink-330-ml-707504FLS,2025-12-09 15:39:52
Starbucks Caramel Hazelnut Flavour Protein Drink with Coffee 330 ml,"€2,69",JA,6.1g,4.0g,1.1g,215kJ/51kcal,https://www.jumbo.com/producten/starbucks-caramel-hazelnut-flavour-protein-drink-with-coffee-330-ml-680652FLS,2025-12-09 15:39:54
Starbucks Protein Drink with Coffee Chocolate Mocha Flavour 330 ml,"€2,69",JA,6.1g,4.1g,1.1g,218kJ/52kcal,https://www.jumbo.com/producten/starbucks-protein-drink-with-coffee-chocolate-mocha-flavour-330-ml-680584FLS,2025-12-09 15:39:57
Lindahls Protein Smaak Aardbei Melkdrank 500 ml,"€1,99",JA,6.0 g,5.3 g,0.3 g,205 kJ,https://www.jumbo.com/producten/lindahls-protein-smaak-aardbei-melkdrank-500-ml-652394CUP,2025-12-09 15:39:59
Lindahls Protein Smaak Vanille Melkdrank 500 ml,"€1,99",JA,6.0 g,5.6 g,0.3 g,210 kJ,https://www.jumbo.com/producten/lindahls-protein-smaak-vanille-melkdrank-500-ml-652393CUP,2025-12-09 15:40:02
NXT Level Banana Flavor Protein Shake 330 ml,"€2,33",JA,7.6 g,3.0 g,0.2 g,188.0 kJ,https://www.jumbo.com/producten/nxt-level-banana-flavor-protein-shake-330-ml-472614FLS,2025-12-09 15:40:05
NXT Level Strawberry Flavor Protein Shake 330 ml,"€2,35",JA,7.6 g,2.9 g,0.1 g,183.0 kJ,https://www.jumbo.com/producten/nxt-level-strawberry-flavor-protein-shake-330-ml-472615FLS,2025-12-09 15:40:07
NXT Level Ice Coffee Flavor Protein Shake 330 ml,"€2,27",JA,"7,5g","3,9g","0,1g",201kJ 48kcal,https://www.jumbo.com/producten/nxt-level-ice-coffee-flavor-protein-shake-330-ml-457928FLS,2025-12-09 15:40:10
NXT Level Protein Shake Vanilla Flavor 330 ml,"€2,27",JA,"7,6g","3,9g","0,1g",202kJ 48kcal,https://www.jumbo.com/producten/nxt-level-protein-shake-vanilla-flavor-330-ml-458003FLS,2025-12-09 15:40:12
Melkunie Protein Chocolate Flavoured Shake 250 ml,"€1,69",JA,8.1 g,6.3 g,1.2 g,280 kJ 73 kcal,https://www.jumbo.com/producten/melkunie-protein-chocolate-flavoured-shake-250-ml-406774FLS,2025-12-09 15:40:15
Melkunie Protein Raspberry & Strawberry Flavoured Shake 225 ml,"€1,69",JA,,,,,https://www.jumbo.com/producten/melkunie-protein-raspberry-strawberry-flavoured-shake-225-ml-192505PAK,2025-12-09 15:40:18
HiPRO Protein Drink Mango 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-mango-300-ml-494984FLS,2025-12-09 15:40:21
HiPRO Protein Drink Perzik Passievrucht 300 ml,"€2,49",JA,,,,,https://www.jumbo.com/producten/hipro-protein-drink-perzik-passievrucht-300-ml-547423FLS,2025-12-09 15:40:23
