Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Dove Argan oil shower mousse,"€7,99",JA,,,,,https://www.ah.nl/producten/product/wi429723/dove-argan-oil-shower-mousse,2025-12-09 14:06:42
Dove Rose oil shower mousse,"€7,99",JA,,,,,https://www.ah.nl/producten/product/wi429724/dove-rose-oil-shower-mousse,2025-12-09 14:06:45
Gourmet Gold mousse met zalm,"€0,89",NEE,,,,,https://www.ah.nl/producten/product/wi44175,2025-12-09 14:06:48
Upfront Eiwit milkshake vanille smaak,"€2,29",NEE,7.7 g,5.4 g,1.5 g,279 kJ (66 kcal),https://www.ah.nl/producten/product/wi586034/upfront-eiwit-milkshake-vanille-smaak,2025-12-09 14:06:52
Melkunie Protein aardbei & framboos shake,"€1,69",NEE,9 g,6.5 g,1.6 g,322 kJ (76 kcal),https://www.ah.nl/producten/product/wi415701/melkunie-protein-aardbei-en-framboos-shake,2025-12-09 14:06:54
Müller Müllermilk milkshake aardbeismaak,"€1,49",JA,3.3 g,10.1 g,3.3 g,350 kJ (83 kcal),https://www.ah.nl/producten/product/wi550193/mu%CC%88ller-mu%CC%88llermilk-milkshake-aardbeismaak,2025-12-09 14:06:57
AH Whey protein shake vanillesmaak,"€6,89",NEE,69 g,14 g,4.4 g,1579 kJ (373 kcal),https://www.ah.nl/producten/product/wi556846/ah-whey-protein-shake-vanillesmaak,2025-12-09 14:07:00
Upfront Shaker,"€9,99",NEE,,,,,https://www.ah.nl/producten/product/wi594286/upfront-shaker,2025-12-09 14:07:03
Bol Power shake bosbessen,"€3,99",NEE,6.1 g,4.8 g,2.8 g,306 kJ (73 kcal),https://www.ah.nl/producten/product/wi601554/bol-power-shake-bosbessen,2025-12-09 14:07:06
NXT Level Protein shake banana flavour,"€2,35",NEE,7.6 g,3 g,0.1 g,188 kJ (45 kcal),https://www.ah.nl/producten/product/wi584832/nxt-level-protein-shake-banana-flavour,2025-12-09 14:07:09
Bol Power shake chocolade,"€3,99",NEE,6.4 g,3.8 g,3 g,306 kJ (73 kcal),https://www.ah.nl/producten/product/wi601553/bol-power-shake-chocolade,2025-12-09 14:07:12
Optimum Nutrition High protein shake vanilla,"€2,99",NEE,7.6 g,4 g,0.1 g,203 kJ (48 kcal),https://www.ah.nl/producten/product/wi576486/optimum-nutrition-high-protein-shake-vanilla,2025-12-09 14:07:15
NXT Level Protein shake ice coffee flavour,"€2,29",NEE,7.5 g,3.9 g,0.1 g,201 kJ (48 kcal),https://www.ah.nl/producten/product/wi570881/nxt-level-protein-shake-ice-coffee-flavour,2025-12-09 14:07:18
Müller Müllermilk milkshake vanille,"€1,49",JA,3.3 g,9.7 g,3.3 g,345 kJ (82 kcal),https://www.ah.nl/producten/product/wi550194/mu%CC%88ller-mu%CC%88llermilk-milkshake-vanille,2025-12-09 14:07:21
Optimum Nutrition High protein shake vanilla,"€3,99",NEE,10 g,4 g,0.2 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi576491/optimum-nutrition-high-protein-shake-vanilla,2025-12-09 14:07:25
Optimum Nutrition High protein shake chocolate,"€3,99",NEE,10 g,4.8 g,0.4 g,264 kJ (63 kcal),https://www.ah.nl/producten/product/wi576492/optimum-nutrition-high-protein-shake-chocolate,2025-12-09 14:07:28
Upfront Eiwit milkshake mango smaak,"€2,29",NEE,7.7 g,5.4 g,1.5 g,279 kJ (66 kcal),https://www.ah.nl/producten/product/wi595152/upfront-eiwit-milkshake-mango-smaak,2025-12-09 14:07:31
NXT Level Protein shake vanilla flavour,"€2,29",NEE,7.5 g,3.9 g,0.1 g,202 kJ (48 kcal),https://www.ah.nl/producten/product/wi570882/nxt-level-protein-shake-vanilla-flavour,2025-12-09 14:07:34
Optimum Nutrition High protein shake strawberry,"€2,99",NEE,7.6 g,4 g,0.1 g,203 kJ (48 kcal),https://www.ah.nl/producten/product/wi576494/optimum-nutrition-high-protein-shake-strawberry,2025-12-09 14:07:36
AH Whey protein shake chocolade,"€6,89",NEE,68 g,11 g,5.3 g,1567 kJ (371 kcal),https://www.ah.nl/producten/product/wi556847/ah-whey-protein-shake-chocolade,2025-12-09 14:07:39
Upfront Whey milkshake vanille,"€14,99",NEE,74 g,5.6 g,6.8 g,1673 kJ (396 kcal),https://www.ah.nl/producten/product/wi584831/upfront-whey-milkshake-vanille,2025-12-09 14:07:43
Barebells Milkshake strawberry,"€3,09",NEE,7.3 g,3.8 g,1.4 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi518743/barebells-milkshake-strawberry,2025-12-09 14:07:46
Optimum Nutrition Shakebeker,"€12,99",NEE,,,,,https://www.ah.nl/producten/product/wi576763/optimum-nutrition-shakebeker,2025-12-09 14:07:49
Optimum Nutrition High protein shake strawberry,"€3,99",NEE,10 g,4 g,0.2 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi576493/optimum-nutrition-high-protein-shake-strawberry,2025-12-09 14:07:52
Optimum Nutrition High protein shake chocolate,"€2,99",NEE,7.6 g,5.4 g,0.3 g,238 kJ (56 kcal),https://www.ah.nl/producten/product/wi576487/optimum-nutrition-high-protein-shake-chocolate,2025-12-09 14:07:55
NXT Level Protein shake chocolate flavour,"€2,35",NEE,7.6 g,4.1 g,0.3 g,212 kJ (51 kcal),https://www.ah.nl/producten/product/wi584833/nxt-level-protein-shake-chocolate-flavour,2025-12-09 14:07:59
AH Whey Protein en shaker pakket,"€19,88",NEE,,,,,https://www.ah.nl/producten/product/wi580580/ah-whey-protein-en-shaker-pakket,2025-12-09 14:08:02
Melkunie Protein chocolade shake 4-pack,"€6,42",JA,,,,,https://www.ah.nl/producten/product/wi594679/melkunie-protein-chocolade-shake-4-pack,2025-12-09 14:08:05
Barebells Milkshake vanilla,"€3,09",NEE,7.3 g,3.8 g,1.4 g,245 kJ (58 kcal),https://www.ah.nl/producten/product/wi518739/barebells-milkshake-vanilla,2025-12-09 14:08:08
Barebells Milkshake cookies & cream,"€3,09",NEE,7.3 g,3.8 g,1.5 g,249 kJ (59 kcal),https://www.ah.nl/producten/product/wi593855/barebells-milkshake-cookies-en-cream,2025-12-09 14:08:11
Barebells Milkshake chocolate,"€3,09",NEE,7.3 g,3.6 g,1.3 g,240 kJ (57 kcal),https://www.ah.nl/producten/product/wi518767/barebells-milkshake-chocolate,2025-12-09 14:08:14
Bol Power shake vanille,"€3,99",NEE,6.1 g,5.5 g,2.7 g,309 kJ (74 kcal),https://www.ah.nl/producten/product/wi601552/bol-power-shake-vanille,2025-12-09 14:08:17
Upfront Eiwit mikshake aardbei,"€2,29",NEE,7.7 g,5.3 g,1.5 g,278 kJ (66 kcal),https://www.ah.nl/producten/product/wi586033/upfront-eiwit-mikshake-aardbei,2025-12-09 14:08:20
ESN Proteïne milkshake banaan pakket,"€19,32",JA,,,,,https://www.ah.nl/producten/product/wi602636/esn-protei%CC%88ne-milkshake-banaan-pakket,2025-12-09 14:08:23
Melkunie Protein aardbei yoghurt,"€1,79",NEE,10 g,5.6 g,0.6 g,300 kJ (71 kcal),https://www.ah.nl/producten/product/wi448362,2025-12-09 14:08:26
innocent Super smoothie green antioxidant,"€3,99",JA,1.3 g,11 g,0.11 g,224 kJ (53 kcal),https://www.ah.nl/producten/product/wi401896/innocent-super-smoothie-green-antioxidant,2025-12-09 14:08:29
innocent Super smoothie berry energise,"€3,99",JA,1.5 g,11 g,0 g,224 kJ (53 kcal),https://www.ah.nl/producten/product/wi401895/innocent-super-smoothie-berry-energise,2025-12-09 14:08:32
AH Vers geperste smoothie aardbei banaan,"€2,59",NEE,0.5 g,12 g,0 g,221 kJ (52 kcal),https://www.ah.nl/producten/product/wi130275/ah-vers-geperste-smoothie-aardbei-banaan,2025-12-09 14:08:35
AH Vers geperste smoothie yoghurt aardbei,"€1,99",JA,2.1 g,11 g,0 g,227 kJ (53 kcal),https://www.ah.nl/producten/product/wi434324,2025-12-09 14:08:38
AH Vers geperste smoothie mango maracuja,"€2,59",NEE,0.6 g,9.5 g,0 g,178 kJ (42 kcal),https://www.ah.nl/producten/product/wi130276/ah-vers-geperste-smoothie-mango-maracuja,2025-12-09 14:08:41
Goodies Knijpfruit smoothie aardbei & appel 3+,"€1,09",JA,0.2 g,13 g,0.1 g,239 kJ (57 kcal),https://www.ah.nl/producten/product/wi584510,2025-12-09 14:08:45
AH Smoothie mango passievrucht,"€1,29",NEE,0.6 g,13 g,0.2 g,247 kJ (58 kcal),https://www.ah.nl/producten/product/wi379563/ah-smoothie-mango-passievrucht,2025-12-09 14:08:48
AH Smoothie ananas banaan kokos,"€1,29",NEE,0.7 g,12 g,2 g,294 kJ (70 kcal),https://www.ah.nl/producten/product/wi379566/ah-smoothie-ananas-banaan-kokos,2025-12-09 14:08:51
AH Smoothie appel aardbei braam zwarte bes,"€1,29",NEE,0.6 g,10 g,0.3 g,202 kJ (48 kcal),https://www.ah.nl/producten/product/wi440502/ah-smoothie-appel-aardbei-braam-zwarte-bes,2025-12-09 14:08:54
AH Vers geperste smoothie aardbei banaan,"€4,39",NEE,0.5 g,12 g,0 g,221 kJ (52 kcal),https://www.ah.nl/producten/product/wi424881/ah-vers-geperste-smoothie-aardbei-banaan,2025-12-09 14:08:57
AH Winterfavoriet peer cranberry kaneel,"€2,49",NEE,0.2 g,10 g,0 g,175 kJ (41 kcal),https://www.ah.nl/producten/product/wi601932/ah-winterfavoriet-peer-cranberry-kaneel,2025-12-09 14:09:00
AH Vers geperste smoothie sinaasappel mango,"€1,99",JA,0.6 g,12 g,0.9 g,255 kJ (60 kcal),https://www.ah.nl/producten/product/wi479239,2025-12-09 14:09:03
AH Vers geperst sap sinaasappel aardbei,"€1,99",JA,0.7 g,9.3 g,0 g,174 kJ (41 kcal),https://www.ah.nl/producten/product/wi285947/ah-vers-geperst-sap-sinaasappel-aardbei,2025-12-09 14:09:06
AH Terra Verse smoothie kokosmelk ananas mango,"€1,99",JA,0.6 g,9.8 g,2.6 g,277 kJ (66 kcal),https://www.ah.nl/producten/product/wi571190/ah-terra-verse-smoothie-kokosmelk-ananas-mango,2025-12-09 14:09:09
AH Verse proteïne smoothie kwark framboos,"€2,19",JA,4.4 g,8.5 g,0.1 g,228 kJ (54 kcal),https://www.ah.nl/producten/product/wi582063/ah-verse-protei%CC%88ne-smoothie-kwark-framboos,2025-12-09 14:09:13
AH Vers geperste smoothie mango banaan,"€2,59",NEE,0.5 g,10 g,0.9 g,218 kJ (52 kcal),https://www.ah.nl/producten/product/wi424880/ah-vers-geperste-smoothie-mango-banaan,2025-12-09 14:09:15
AH Verse proteïne smoothie kwark mango,"€2,19",JA,4.3 g,8.9 g,0.1 g,231 kJ (55 kcal),https://www.ah.nl/producten/product/wi582065/ah-verse-protei%CC%88ne-smoothie-kwark-mango,2025-12-09 14:09:19
AH Vers geperste smoothie mango ananas,"€1,99",JA,0.4 g,10 g,0.4 g,196 kJ (46 kcal),https://www.ah.nl/producten/product/wi479238,2025-12-09 14:09:22
AH 75% groente smoothie spinazie komkommer,"€1,99",JA,1 g,4 g,2 g,167 kJ (40 kcal),https://www.ah.nl/producten/product/wi582006/ah-75-groente-smoothie-spinazie-komkommer,2025-12-09 14:09:25
AH Vers geperste smoothie appel aardbei,"€1,99",JA,0.6 g,11 g,0.3 g,218 kJ (52 kcal),https://www.ah.nl/producten/product/wi575176,2025-12-09 14:09:28
AH Vers geperst sap sinaasappel mango appel,"€4,19",NEE,0.4 g,11 g,0 g,199 kJ (47 kcal),https://www.ah.nl/producten/product/wi238123/ah-vers-geperst-sap-sinaasappel-mango-appel,2025-12-09 14:09:30
AH 80% groentesap wortel sinaasappel gember,"€1,99",JA,0.7 g,5.3 g,0 g,106 kJ (25 kcal),https://www.ah.nl/producten/product/wi562345/ah-80-groentesap-wortel-sinaasappel-gember,2025-12-09 14:09:33
AH Vers geperst sap sinaasappel,"€3,99",NEE,0.7 g,8.5 g,0 g,162 kJ (38 kcal),https://www.ah.nl/producten/product/wi62198/ah-vers-geperst-sap-sinaasappel,2025-12-09 14:09:36
AH Excellent Mocktail paloma,"€2,59",NEE,0.3 g,7.9 g,0 g,143 kJ (34 kcal),https://www.ah.nl/producten/product/wi601931/ah-excellent-mocktail-paloma,2025-12-09 14:09:39
AH Vers geperste smoothie yoghurt kokos,"€1,99",JA,2.1 g,11 g,0.4 g,242 kJ (57 kcal),https://www.ah.nl/producten/product/wi434327,2025-12-09 14:09:42
AH Vers geperst sap sinaasappel,"€1,89",JA,0.7 g,8.5 g,0 g,162 kJ (38 kcal),https://www.ah.nl/producten/product/wi259018/ah-vers-geperst-sap-sinaasappel,2025-12-09 14:09:45
innocent Super smoothie berry defence,"€2,79",JA,0.42 g,11 g,0.16 g,215 kJ (51 kcal),https://www.ah.nl/producten/product/wi520019/innocent-super-smoothie-berry-defence,2025-12-09 14:09:48
AH Vitamineshot vitamine D,"€1,09",JA,0.7 g,8.8 g,0 g,166 kJ (39 kcal),https://www.ah.nl/producten/product/wi588974/ah-vitamineshot-vitamine-d,2025-12-09 14:09:51
Oasis Tropical,"€2,49",NEE,0 g,6.1 g,0 g,111 kJ (26 kcal),https://www.ah.nl/producten/product/wi416270/oasis-tropical,2025-12-09 14:09:54
