Naam,Prijs,Aanbieding,Eiwit per 100g,Koolhydraten per 100g,Vetten per 100g,Calorieën,Link,Verzameld op
Arla Biologisch volle yoghurt,"€1,99",NEE,3.6 g,4 g,3.1 g,256 kJ (61 kcal),https://www.ah.nl/producten/product/wi419846,2025-12-08 17:16:36
Pur Natur Bio yoghurt framboos,"€1,39",NEE,3.7 g,11 g,3.2 g,375 kJ (90 kcal),https://www.ah.nl/producten/product/wi233758/pur-natur-bio-yoghurt-framboos,2025-12-08 17:16:39
"Campina High protein Greek yoghurt 1,5% fat","€3,69",NEE,10 g,4 g,1.5 g,313 kJ (74 kcal),https://www.ah.nl/producten/product/wi585849,2025-12-08 17:16:42
AH Volle yoghurt,"€1,69",NEE,4.5 g,4.5 g,3 g,264 kJ (63 kcal),https://www.ah.nl/producten/product/wi1518/ah-volle-yoghurt,2025-12-08 17:16:45
Almhof Roomyoghurt Spaanse sinaasappel,"€1,94",JA,2.7 g,13.1 g,8.1 g,578 kJ (138 kcal),https://www.ah.nl/producten/product/wi130176/almhof-roomyoghurt-spaanse-sinaasappel,2025-12-08 17:16:49
Arla Biologisch halfvolle yoghurt,"€1,99",NEE,4 g,4.5 g,1.5 g,215 kJ (51 kcal),https://www.ah.nl/producten/product/wi212539,2025-12-08 17:16:52
Zuivelhoeve Boer'n yoghurt bosvruchten,"€3,29",JA,4.4 g,8.9 g,3.6 g,362 kJ (86 kcal),https://www.ah.nl/producten/product/wi550134/zuivelhoeve-boer-n-yoghurt-bosvruchten,2025-12-08 17:16:56
Onbekend,0,NEE,,,,,https://www.ah.nl/producten/product/wi438678/ah-yoghurt-griekse-stijl,2025-12-08 17:17:00
Almhof Volle kwark spaanse sinaasappel,"€2,24",JA,5.6 g,14.2 g,5.4 g,547 kJ (130 kcal),https://www.ah.nl/producten/product/wi187533/almhof-volle-kwark-spaanse-sinaasappel,2025-12-08 17:17:03
Almhof Volle kwark aardbei,"€2,24",JA,5.7 g,13 g,5.5 g,536 kJ (128 kcal),https://www.ah.nl/producten/product/wi419867/almhof-volle-kwark-aardbei,2025-12-08 17:17:06
De Zaanse Hoeve Magere kwark,"€1,99",NEE,8.5 g,4 g,0 g,213 kJ (50 kcal),https://www.ah.nl/producten/product/wi458995/de-zaanse-hoeve-magere-kwark,2025-12-08 17:17:10
AH Magere kwark,"€2,49",NEE,9 g,4 g,0 g,221 kJ (52 kcal),https://www.ah.nl/producten/product/wi231878/ah-magere-kwark,2025-12-08 17:17:13
AH Biologisch Magere kwark,"€1,65",NEE,9.6 g,3.7 g,0.07 g,229 kJ (54 kcal),https://www.ah.nl/producten/product/wi114817/ah-biologisch-magere-kwark,2025-12-08 17:17:17
Danio Romige kwark aardbei,"€2,89",JA,5.6 g,11.8 g,2.9 g,405 kJ (96 kcal),https://www.ah.nl/producten/product/wi67680/danio-romige-kwark-aardbei,2025-12-08 17:17:20
AH Magere kwark,"€1,49",NEE,9 g,4 g,0 g,221 kJ (52 kcal),https://www.ah.nl/producten/product/wi63453/ah-magere-kwark,2025-12-08 17:17:23
AH Biologisch Volle kwark,"€1,89",NEE,7 g,3.5 g,6.5 g,419 kJ (101 kcal),https://www.ah.nl/producten/product/wi396393/ah-biologisch-volle-kwark,2025-12-08 17:17:26
De Zaanse Hoeve Volle kwark,"€1,55",NEE,7.1 g,3.8 g,7.9 g,478 kJ (115 kcal),https://www.ah.nl/producten/product/wi451700/de-zaanse-hoeve-volle-kwark,2025-12-08 17:17:29
AH Magere kwark met magere yoghurt aardbei,"€1,59",NEE,6.4 g,3.6 g,0.2 g,178 kJ (42 kcal),https://www.ah.nl/producten/product/wi585909/ah-magere-kwark-met-magere-yoghurt-aardbei,2025-12-08 17:17:33
Streeckgenoten Kwarkbol,"€4,99",NEE,8.4 g,53 g,10 g,1444 kJ (345 kcal),https://www.ah.nl/producten/product/wi601883/streeckgenoten-kwarkbol,2025-12-08 17:17:36
AH Magere kwark met magere yoghurt vanille,"€1,59",NEE,6.4 g,3.4 g,0.2 g,174 kJ (41 kcal),https://www.ah.nl/producten/product/wi585910/ah-magere-kwark-met-magere-yoghurt-vanille,2025-12-08 17:17:39
Campina Magere milde kwark met vleugje vanille,"€2,09",NEE,9.2 g,7 g,0.1 g,275 kJ (65 kcal),https://www.ah.nl/producten/product/wi387974/campina-magere-milde-kwark-met-vleugje-vanille,2025-12-08 17:17:43
AH Halfvolle kwark,"€1,69",NEE,7.5 g,3.9 g,3 g,305 kJ (73 kcal),https://www.ah.nl/producten/product/wi403752/ah-halfvolle-kwark,2025-12-08 17:17:46
AH Magere kwark mager yoghurt stracciatella,"€1,69",NEE,6.6 g,3.4 g,0.5 g,189 kJ (45 kcal),https://www.ah.nl/producten/product/wi585911/ah-magere-kwark-mager-yoghurt-stracciatella,2025-12-08 17:17:49
AH Volle kwark,"€1,79",NEE,8 g,4 g,8 g,500 kJ (120 kcal),https://www.ah.nl/producten/product/wi130184/ah-volle-kwark,2025-12-08 17:17:52
Campina Magere milde kwark naturel,"€1,99",NEE,10 g,2.7 g,0.1 g,235 kJ (55 kcal),https://www.ah.nl/producten/product/wi387970,2025-12-08 17:17:57
AH Lactosevrije magere kwark,"€1,99",NEE,8.5 g,3.6 g,0.2 g,213 kJ (50 kcal),https://www.ah.nl/producten/product/wi438670/ah-lactosevrije-magere-kwark,2025-12-08 17:18:00
Campina Volle milde kwark,"€2,29",NEE,8.5 g,2.8 g,8.8 g,531 kJ (127 kcal),https://www.ah.nl/producten/product/wi407975/campina-volle-milde-kwark,2025-12-08 17:18:05
Danio Romige kwark perzik,"€2,89",NEE,5.6 g,13.9 g,2.9 g,440 kJ (105 kcal),https://www.ah.nl/producten/product/wi67681/danio-romige-kwark-perzik,2025-12-08 17:18:09
Campina Magere milde kwark kokos,"€2,09",NEE,8.9 g,8.3 g,0.6 g,329 kJ (78 kcal),https://www.ah.nl/producten/product/wi387972/campina-magere-milde-kwark-kokos,2025-12-08 17:18:12
Almhof Volle kwark citroen,"€2,24",JA,5.7 g,12.6 g,5.6 g,531 kJ (127 kcal),https://www.ah.nl/producten/product/wi33720/almhof-volle-kwark-citroen,2025-12-08 17:18:20
AH Protein kwark met yoghurt perzik,"€1,99",NEE,10 g,4.7 g,0.2 g,258 kJ (61 kcal),https://www.ah.nl/producten/product/wi585918/ah-protein-kwark-met-yoghurt-perzik,2025-12-08 17:18:48
Campina Magere milde kwark vanille voordeelpak,"€3,69",NEE,9 g,7.3 g,0.1 g,294 kJ (69 kcal),https://www.ah.nl/producten/product/wi555453/campina-magere-milde-kwark-vanille-voordeelpak,2025-12-08 17:18:56
Danio Romige kwark mango kiwi banaan,"€2,89",NEE,5.6 g,12.8 g,2.9 g,423 kJ (100 kcal),https://www.ah.nl/producten/product/wi206839/danio-romige-kwark-mango-kiwi-banaan,2025-12-08 17:18:59
AH Protein kwark met yoghurt framboos,"€1,99",NEE,10 g,4.6 g,0.2 g,256 kJ (60 kcal),https://www.ah.nl/producten/product/wi585919/ah-protein-kwark-met-yoghurt-framboos,2025-12-08 17:19:02
Campina Magere milde kwark naturel voordeelpak,"€3,49",NEE,10.3 g,2.8 g,0.1 g,238 kJ (57 kcal),https://www.ah.nl/producten/product/wi429777,2025-12-08 17:19:06
Danio Romige kwark mango passievrucht,"€2,89",NEE,5.6 g,13.8 g,2.9 g,435 kJ (104 kcal),https://www.ah.nl/producten/product/wi583281/danio-romige-kwark-mango-passievrucht,2025-12-08 17:19:11
Optimel Magere kwark appel kaneel,"€2,59",NEE,6.5 g,3.9 g,0 g,194 kJ (46 kcal),https://www.ah.nl/producten/product/wi166359/optimel-magere-kwark-appel-kaneel,2025-12-08 17:19:14
Danio Romige kwark stracciatella,"€2,89",NEE,5.7 g,14.7 g,4.1 g,500 kJ (119 kcal),https://www.ah.nl/producten/product/wi121614/danio-romige-kwark-stracciatella,2025-12-08 17:19:17
Almhof volle kwark variatie pakket,"€6,73",JA,,,,,https://www.ah.nl/producten/product/wi597140/almhof-volle-kwark-variatie-pakket,2025-12-08 17:19:21
AH Super kwarksnack aardbei,"€1,99",NEE,6.8 g,8.8 g,1.7 g,329 kJ (78 kcal),https://www.ah.nl/producten/product/wi163665/ah-super-kwarksnack-aardbei,2025-12-08 17:19:25
Optimel Magere kwark aardbei,"€2,59",NEE,6.6 g,4.1 g,0 g,217 kJ (51 kcal),https://www.ah.nl/producten/product/wi103004,2025-12-08 17:19:28
Optimel Magere kwark stracciatella,"€2,59",NEE,6.9 g,3.7 g,0 g,222 kJ (52 kcal),https://www.ah.nl/producten/product/wi498202/optimel-magere-kwark-stracciatella,2025-12-08 17:19:31
Danio Romige kwark bosbes,"€2,89",NEE,5.6 g,13.5 g,2.9 g,436 kJ (104 kcal),https://www.ah.nl/producten/product/wi112211/danio-romige-kwark-bosbes,2025-12-08 17:19:34
Almhof Volle kwark vanille,"€2,24",JA,5.6 g,13.9 g,5.4 g,544 kJ (130 kcal),https://www.ah.nl/producten/product/wi33721/almhof-volle-kwark-vanille,2025-12-08 17:19:37
AH Protein pudding vanille smaak,"€1,29",NEE,10 g,5.5 g,1.5 g,319 kJ (76 kcal),https://www.ah.nl/producten/product/wi575532/ah-protein-pudding-vanille-smaak,2025-12-08 17:19:41
AH Protein pudding chocoladesmaak,"€1,29",NEE,10 g,5.5 g,1.5 g,325 kJ (77 kcal),https://www.ah.nl/producten/product/wi556293/ah-protein-pudding-chocoladesmaak,2025-12-08 17:19:44
Mona Pudding vanille met aardbeiensaus duo,"€1,99",NEE,3.9 g,20.1 g,2.1 g,492 kJ (117 kcal),https://www.ah.nl/producten/product/wi193673,2025-12-08 17:19:47
Mona Vanillepudding met aardbeiensaus,"€2,49",NEE,4.1 g,19 g,2.3 g,482 kJ (114 kcal),https://www.ah.nl/producten/product/wi212537,2025-12-08 17:19:51
Dr. Oetker Kookpudding vanillesmaak,"€0,99",NEE,3.1 g,17 g,1.4 g,389 kJ (92 kcal),https://www.ah.nl/producten/product/wi161334/dr-oetker-kookpudding-vanillesmaak,2025-12-08 17:19:54
AH Protein pudding karamelsmaak,"€1,29",NEE,10 g,5.5 g,1.5 g,321 kJ (76 kcal),https://www.ah.nl/producten/product/wi556292/ah-protein-pudding-karamelsmaak,2025-12-08 17:19:58
Dr. Oetker Kloppudding vanillesmaak,"€1,09",NEE,3.2 g,16 g,1.5 g,386 kJ (91 kcal),https://www.ah.nl/producten/product/wi171335/dr-oetker-kloppudding-vanillesmaak,2025-12-08 17:20:01
Mona Griesmeelpudding met rode bessensaus,"€2,49",NEE,2.8 g,21.1 g,2.2 g,502 kJ (119 kcal),https://www.ah.nl/producten/product/wi3858,2025-12-08 17:20:04
Koopmans Griesmeelpudding bitterkoekjes,"€1,29",NEE,3.8 g,16 g,1.6 g,401 kJ (95 kcal),https://www.ah.nl/producten/product/wi505657/koopmans-griesmeelpudding-bitterkoekjes,2025-12-08 17:20:08
Dr. Oetker Kookpudding chocolade,"€1,39",NEE,3.4 g,18 g,1.5 g,423 kJ (100 kcal),https://www.ah.nl/producten/product/wi161333/dr-oetker-kookpudding-chocolade,2025-12-08 17:20:23
Dr. Oetker Kookpudding frambozensmaak,"€1,29",NEE,3.1 g,17 g,1.4 g,393 kJ (93 kcal),https://www.ah.nl/producten/product/wi171338/dr-oetker-kookpudding-frambozensmaak,2025-12-08 17:20:28
Dr. Oetker Kookpudding rum-rozijnen smaak,"€1,29",NEE,3.1 g,18 g,1.4 g,417 kJ (98 kcal),https://www.ah.nl/producten/product/wi187440/dr-oetker-kookpudding-rum-rozijnen-smaak,2025-12-08 17:20:37
Dr. Oetker Jelly pudding aardbeien,"€1,39",NEE,0 g,15 g,0 g,257 kJ (60 kcal),https://www.ah.nl/producten/product/wi126850/dr-oetker-jelly-pudding-aardbeien,2025-12-08 17:20:40
Dr. Oetker Kloppudding karamel,"€1,15",NEE,3.2 g,16 g,1.5 g,385 kJ (91 kcal),https://www.ah.nl/producten/product/wi171336/dr-oetker-kloppudding-karamel,2025-12-08 17:20:50
Mona Pudding griesmeel rode bessensaus duo,"€1,99",NEE,2.7 g,21.4 g,2.1 g,501 kJ (119 kcal),https://www.ah.nl/producten/product/wi193675,2025-12-08 17:20:53
Koopmans Griesmeelpudding vanillesmaak,"€1,29",NEE,3.9 g,15 g,1.5 g,387 kJ (91 kcal),https://www.ah.nl/producten/product/wi505656/koopmans-griesmeelpudding-vanillesmaak,2025-12-08 17:21:00
HiPRO Pudding pistache,"€1,49",JA,10 g,6.2 g,0.8 g,305 kJ (72 kcal),https://www.ah.nl/producten/product/wi601532/hipro-pudding-pistache,2025-12-08 17:21:18
Melkunie Protein crème brûlée,"€1,79",NEE,10 g,7.7 g,1.5 g,308 kJ (73 kcal),https://www.ah.nl/producten/product/wi595148/melkunie-protein-cre%CC%80me-bru%CC%82le%CC%81e,2025-12-08 17:21:28
Koopmans Griesmeelpudding amandel,"€1,29",NEE,3.9 g,16 g,1.6 g,399 kJ (94 kcal),https://www.ah.nl/producten/product/wi505658/koopmans-griesmeelpudding-amandel,2025-12-08 17:21:38
Lindahls Protein pudding vanillesmaak,"€1,49",NEE,10.3 g,7.2 g,0.2 g,304 kJ (72 kcal),https://www.ah.nl/producten/product/wi520126/lindahls-protein-pudding-vanillesmaak,2025-12-08 17:21:45
Onbekend,1,JA,,,,,https://www.ah.nl/producten/product/wi556395,2025-12-08 17:22:30
Melkunie Protein chocolade pudding,"€1,79",NEE,10 g,7.7 g,1.5 g,318 kJ (75 kcal),https://www.ah.nl/producten/product/wi474603,2025-12-08 17:22:34
HiPRO Protein pudding karamel,"€1,49",JA,10 g,6.2 g,0.8 g,319 kJ (75 kcal),https://www.ah.nl/producten/product/wi556394,2025-12-08 17:22:40
Melkunie Protein chocolade pudding 3-pack,"€5,37",JA,,,,,https://www.ah.nl/producten/product/wi594677/melkunie-protein-chocolade-pudding-3-pack,2025-12-08 17:22:43
Alpro Protein pudding vanille smaak,"€2,39",NEE,10 g,7.7 g,2.5 g,399 kJ (95 kcal),https://www.ah.nl/producten/product/wi556305,2025-12-08 17:22:46
Freasy Bosvruchten chia pudding,"€4,99",NEE,4.3 g,13.2 g,6.4 g,493.3 kJ (117.9 kcal),https://www.ah.nl/producten/product/wi582334/freasy-bosvruchten-chia-pudding,2025-12-08 17:22:49
Alpro Protein pudding chocolade smaak,"€2,39",NEE,10.2 g,7 g,2.9 g,407 kJ (97 kcal),https://www.ah.nl/producten/product/wi556306,2025-12-08 17:22:52
AH Puddingkruimelvlaai half,"€4,99",NEE,4.9 g,45 g,13 g,1339 kJ (319 kcal),https://www.ah.nl/producten/product/wi194376/ah-puddingkruimelvlaai-half,2025-12-08 17:22:56
AH Protein mousse chocoladesmaak,"€1,39",NEE,10 g,5 g,1.6 g,322 kJ (76 kcal),https://www.ah.nl/producten/product/wi556294/ah-protein-mousse-chocoladesmaak,2025-12-08 17:22:59
Optimel Proteïne drinkyoghurt aardbei banaan,"€2,69",NEE,6 g,4.3 g,0 g,193 kJ (46 kcal),https://www.ah.nl/producten/product/wi575535,2025-12-08 17:23:03
AH Protein kwark met yoghurt perzik passie,"€1,29",NEE,12 g,3.5 g,0.4 g,280 kJ (66 kcal),https://www.ah.nl/producten/product/wi556288/ah-protein-kwark-met-yoghurt-perzik-passie,2025-12-08 17:23:05
Melkunie Protein chocolade shake,"€1,69",NEE,8.1 g,6.3 g,1.2 g,280 kJ (73 kcal),https://www.ah.nl/producten/product/wi493103,2025-12-08 17:23:09
AH Chocolade mousse puur,"€1,69",NEE,5.2 g,23 g,6.6 g,741 kJ (177 kcal),https://www.ah.nl/producten/product/wi196212/ah-chocolade-mousse-puur,2025-12-08 17:23:13
Onbekend,12,NEE,,,,,https://www.ah.nl/producten/product/wi551208/arthur-metz-cremant-d-alsace,2025-12-09 14:04:35
De Zaanse Hoeve Chocolade mousse,"€1,09",NEE,4.6 g,18 g,4.1 g,552 kJ (131 kcal),https://www.ah.nl/producten/product/wi458971/de-zaanse-hoeve-chocolade-mousse,2025-12-09 14:04:38
Villa Rosa Prosecco,"€6,29",JA,,,,,https://www.ah.nl/producten/product/wi370595/villa-rosa-prosecco,2025-12-09 14:05:10
Almhof Chocolade mousse,"€1,19",JA,5.3 g,24.8 g,6.3 g,750 kJ (178 kcal),https://www.ah.nl/producten/product/wi238023/almhof-chocolade-mousse,2025-12-09 14:05:13
